Parameters:
EtaF;20580
BetaF;1.5
EtaR;100
BetaR;1.2
Initial N;10000
Delta t;0.1
T (seconds);25200
Number of experiments;1000

Time;FailureMean;FailureMean+Sqrt(Var);
0,00;0,00;0,00;
;0,09;0,40;
;0,30;0,86;
;0,53;1,26;
;0,76;1,63;
;1,01;2,05;
;1,28;2,46;
;1,58;2,89;
;1,92;3,37;
;2,22;3,74;
;2,47;4,08;
;2,73;4,43;
;3,01;4,77;
;3,34;5,20;
;3,64;5,61;
;3,88;5,95;
;4,10;6,21;
;4,36;6,51;
;4,60;6,74;
;4,81;7,01;
;5,01;7,21;
;5,26;7,54;
;5,51;7,86;
;5,71;8,12;
;5,87;8,25;
;5,98;8,37;
;6,25;8,72;
;6,39;8,86;
;6,64;9,23;
;6,80;9,41;
;6,95;9,64;
;7,08;9,79;
;7,32;10,03;
;7,44;10,18;
;7,55;10,34;
;7,67;10,43;
;7,81;10,61;
;7,97;10,80;
;8,13;11,04;
;8,33;11,28;
;8,44;11,43;
;8,57;11,58;
;8,67;11,66;
;8,82;11,79;
;8,90;11,91;
;9,00;11,99;
;9,13;12,12;
;9,25;12,33;
;9,46;12,52;
;9,50;12,60;
;9,64;12,73;
;9,80;12,88;
;9,88;12,98;
;9,98;13,14;
;10,07;13,28;
;10,23;13,46;
;10,40;13,60;
;10,42;13,68;
;10,56;13,76;
;10,72;13,96;
;10,82;14,08;
;10,89;14,15;
;10,98;14,23;
;11,08;14,38;
;11,27;14,67;
;11,36;14,71;
;11,40;14,82;
;11,53;15,02;
;11,65;15,07;
;11,73;15,19;
;11,91;15,39;
;12,00;15,44;
;12,10;15,60;
;12,23;15,76;
;12,28;15,79;
;12,34;15,91;
;12,44;16,02;
;12,56;16,13;
;12,68;16,34;
;12,78;16,46;
;12,88;16,59;
;12,89;16,56;
;13,03;16,73;
;13,09;16,77;
;13,14;16,83;
;13,20;16,90;
;13,34;16,94;
;13,48;17,17;
;13,53;17,21;
;13,63;17,29;
;13,69;17,35;
;13,78;17,39;
;13,75;17,35;
;13,83;17,42;
;13,90;17,54;
;13,96;17,53;
;14,03;17,64;
;14,20;17,90;
;14,33;18,02;
;14,29;18,02;
;14,40;18,21;
;14,46;18,26;
;14,61;18,47;
;14,69;18,69;
;14,77;18,73;
;14,83;18,85;
;14,95;18,96;
;15,05;19,09;
;15,12;19,17;
;15,15;19,18;
;15,23;19,28;
;15,21;19,09;
;15,33;19,15;
;15,46;19,37;
;15,37;19,28;
;15,48;19,25;
;15,55;19,38;
;15,57;19,41;
;15,64;19,57;
;15,64;19,55;
;15,65;19,51;
;15,82;19,73;
;15,83;19,81;
;15,94;19,94;
;15,98;20,08;
;16,16;20,24;
;16,22;20,24;
;16,32;20,36;
;16,40;20,36;
;16,44;20,43;
;16,51;20,49;
;16,63;20,64;
;16,66;20,70;
;16,65;20,75;
;16,68;20,71;
;16,76;20,84;
;16,74;20,83;
;16,78;20,90;
;16,96;21,18;
;17,06;21,28;
;17,07;21,38;
;17,10;21,36;
;17,20;21,32;
;17,28;21,49;
;17,35;21,63;
;17,48;21,84;
;17,46;21,83;
;17,47;21,78;
;17,59;21,86;
;17,72;22,05;
;17,80;22,11;
;17,75;22,01;
;17,85;22,09;
;17,91;22,11;
;18,00;22,19;
;18,09;22,25;
;18,12;22,30;
;18,12;22,40;
;18,25;22,55;
;18,41;22,61;
;18,46;22,69;
;18,47;22,81;
;18,57;22,98;
;18,66;23,10;
;18,62;23,02;
;18,67;23,16;
;18,78;23,33;
;18,66;23,08;
;18,86;23,16;
;18,86;23,18;
;18,86;23,13;
;18,94;23,31;
;18,97;23,25;
;18,98;23,28;
;19,10;23,39;
;19,24;23,50;
;19,33;23,67;
;19,34;23,70;
;19,55;23,84;
;19,45;23,81;
0,50;19,50;23,93;
;19,58;24,06;
;19,57;23,95;
;19,58;23,95;
;19,70;24,14;
;19,75;24,19;
;19,84;24,23;
;19,92;24,40;
;19,87;24,41;
;19,95;24,53;
;20,10;24,77;
;20,12;24,73;
;20,17;24,88;
;20,27;25,00;
;20,33;24,98;
;20,31;24,81;
;20,31;24,78;
;20,45;24,94;
;20,46;24,98;
;20,48;24,95;
;20,50;25,03;
;20,58;25,12;
;20,53;25,08;
;20,58;25,12;
;20,68;25,23;
;20,70;25,36;
;20,76;25,40;
;20,88;25,46;
;20,89;25,49;
;20,94;25,48;
;21,03;25,63;
;21,06;25,56;
;21,08;25,65;
;21,16;25,73;
;21,22;25,82;
;21,27;25,90;
;21,24;25,85;
;21,25;25,84;
;21,35;26,00;
;21,43;26,15;
;21,47;26,11;
;21,51;26,15;
;21,70;26,31;
;21,65;26,29;
;21,79;26,38;
;21,86;26,46;
;21,85;26,47;
;22,01;26,64;
;22,15;26,81;
;22,27;26,96;
;22,23;26,92;
;22,33;27,08;
;22,36;27,10;
;22,33;26,98;
;22,35;26,90;
;22,41;27,02;
;22,40;27,11;
;22,52;27,27;
;22,47;27,27;
;22,55;27,31;
;22,65;27,42;
;22,69;27,52;
;22,77;27,64;
;22,75;27,67;
;22,80;27,61;
;22,95;27,69;
;23,07;27,75;
;23,17;27,90;
;23,12;27,82;
;23,22;27,94;
;23,31;28,00;
;23,36;28,01;
;23,33;28,01;
;23,44;28,03;
;23,37;28,07;
;23,46;28,18;
;23,54;28,22;
;23,51;28,31;
;23,51;28,35;
;23,49;28,28;
;23,48;28,21;
;23,53;28,29;
;23,60;28,41;
;23,72;28,56;
;23,72;28,53;
;23,82;28,67;
;23,81;28,68;
;23,77;28,62;
;23,81;28,68;
;23,88;28,67;
;24,01;28,75;
;24,04;28,68;
;24,06;28,76;
;24,19;28,90;
;24,17;28,95;
;24,14;28,88;
;24,28;29,03;
;24,26;28,97;
;24,31;29,15;
;24,41;29,22;
;24,39;29,03;
;24,46;29,07;
;24,41;29,07;
;24,53;29,24;
;24,55;29,23;
;24,46;29,11;
;24,45;29,23;
;24,43;29,33;
;24,50;29,45;
