Time;N(t)
0,00;100
0,10;100
0,20;100
0,30;100
0,40;100
0,50;100
0,60;100
0,70;100
0,80;99
0,90;99
1,00;99
1,10;99
1,20;99
1,30;99
1,40;99
1,50;99
1,60;99
1,70;99
1,80;99
1,90;99
2,00;99
2,10;99
2,20;99
2,30;99
2,40;99
2,50;99
2,60;99
2,70;99
2,80;99
2,90;99
3,00;99
3,10;99
3,20;99
3,30;99
3,40;99
3,50;99
3,60;99
3,70;99
3,80;99
3,90;99
4,00;99
4,10;99
4,20;99
4,30;99
4,40;99
4,50;99
4,60;99
4,70;99
4,80;99
4,90;99
5,00;99
5,10;99
5,20;99
5,30;99
5,40;99
5,50;99
5,60;99
5,70;99
5,80;99
5,90;99
6,00;99
6,10;99
6,20;99
6,30;99
6,40;99
6,50;99
6,60;99
6,70;99
6,80;99
6,90;99
7,00;99
7,10;99
7,20;99
7,30;99
7,40;99
7,50;99
7,60;99
7,70;99
7,80;99
7,90;99
8,00;99
8,10;99
8,20;99
8,30;99
8,40;99
8,50;99
8,60;99
8,70;99
8,80;99
8,90;99
9,00;99
9,10;99
9,20;99
9,30;99
9,40;99
9,50;99
9,60;99
9,70;99
9,80;99
9,90;99
10,00;99
10,10;99
10,20;99
10,30;99
10,40;99
10,50;99
10,60;99
10,70;99
10,80;99
10,90;99
11,00;99
11,10;99
11,20;99
11,30;99
11,40;99
11,50;99
11,60;99
11,70;99
11,80;99
11,90;99
12,00;99
12,10;99
12,20;99
12,30;99
12,40;99
12,50;98
12,60;98
12,70;98
12,80;98
12,90;98
13,00;98
13,10;98
13,20;98
13,30;98
13,40;98
13,50;98
13,60;98
13,70;98
13,80;98
13,90;98
14,00;98
14,10;98
14,20;98
14,30;98
14,40;98
14,50;98
14,60;98
14,70;98
14,80;98
14,90;98
15,00;98
15,10;98
15,20;98
15,30;98
15,40;98
15,50;98
15,60;98
15,70;98
15,80;98
15,90;98
16,00;98
16,10;98
16,20;98
16,30;98
16,40;98
16,50;98
16,60;98
16,70;98
16,80;98
16,90;98
17,00;98
17,10;98
17,20;98
17,30;98
17,40;98
17,50;98
17,60;98
17,70;98
17,80;98
17,90;98
18,00;98
18,10;98
18,20;98
18,30;98
18,40;98
18,50;98
18,60;98
18,70;98
18,80;98
18,90;98
19,00;98
19,10;98
19,20;97
19,30;97
19,40;97
19,50;97
19,60;96
19,70;96
19,80;96
19,90;96
20,00;96
20,10;96
20,20;96
20,30;96
20,40;96
20,50;96
20,60;96
20,70;96
20,80;96
20,90;96
21,00;96
21,10;96
21,20;96
21,30;96
21,40;96
21,50;96
21,60;96
21,70;95
21,80;95
21,90;95
22,00;95
22,10;95
22,20;95
22,30;95
22,40;95
22,50;95
22,60;95
22,70;95
22,80;95
22,90;95
23,00;95
23,10;95
23,20;95
23,30;95
23,40;95
23,50;95
23,60;95
23,70;95
23,80;95
23,90;95
24,00;95
24,10;95
24,20;95
24,30;95
24,40;95
24,50;95
24,60;95
24,70;95
24,80;95
24,90;95
25,00;95
25,10;95
25,20;95
25,30;95
25,40;95
25,50;95
25,60;95
25,70;95
25,80;95
25,90;95
26,00;95
26,10;95
26,20;95
26,30;95
26,40;95
26,50;95
26,60;95
26,70;95
26,80;95
26,90;95
27,00;95
27,10;95
27,20;95
27,30;95
27,40;95
27,50;95
27,60;95
27,70;95
27,80;95
27,90;95
28,00;95
28,10;95
28,20;95
28,30;95
28,40;95
28,50;95
28,60;95
28,70;95
28,80;95
28,90;94
29,00;94
29,10;94
29,20;94
29,30;94
29,40;94
29,50;94
29,60;94
29,70;94
29,80;94
29,90;94
30,00;94
30,10;94
30,20;94
30,30;94
30,40;94
30,50;94
30,60;94
30,70;94
30,80;94
30,90;94
31,00;94
31,10;94
31,20;94
31,30;94
31,40;94
31,50;94
31,60;94
31,70;94
31,80;94
31,90;94
32,00;94
32,10;94
32,20;94
32,30;94
32,40;94
32,50;94
32,60;94
32,70;94
32,80;94
32,90;94
33,00;94
33,10;94
33,20;94
33,30;94
33,40;94
33,50;94
33,60;94
33,70;94
33,80;94
33,90;94
34,00;94
34,10;94
34,20;94
34,30;94
34,40;94
34,50;94
34,60;94
34,70;94
34,80;94
34,90;94
35,00;94
35,10;94
35,20;94
35,30;94
35,40;94
35,50;94
35,60;94
35,70;94
35,80;94
35,90;94
36,00;94
36,10;94
36,20;94
36,30;94
36,40;94
36,50;94
36,60;94
36,70;94
36,80;94
36,90;94
37,00;94
37,10;94
37,20;94
37,30;94
37,40;94
37,50;94
37,60;94
37,70;94
37,80;94
37,90;94
38,00;94
38,10;94
38,20;94
38,30;94
38,40;94
38,50;94
38,60;94
38,70;94
38,80;94
38,90;94
39,00;94
39,10;94
39,20;94
39,30;94
39,40;94
39,50;94
39,60;94
39,70;94
39,80;94
39,90;94
40,00;94
40,10;94
40,20;94
40,30;94
40,40;94
40,50;94
40,60;94
40,70;94
40,80;94
40,90;94
41,00;94
41,10;94
41,20;94
41,30;94
41,40;94
41,50;94
41,60;94
41,70;94
41,80;94
41,90;94
42,00;94
42,10;94
42,20;94
42,30;94
42,40;94
42,50;94
42,60;94
42,70;94
42,80;94
42,90;94
43,00;94
43,10;94
43,20;94
43,30;94
43,40;94
43,50;94
43,60;94
43,70;94
43,80;94
43,90;94
44,00;94
44,10;94
44,20;94
44,30;94
44,40;94
44,50;94
44,60;94
44,70;94
44,80;94
44,90;94
45,00;94
45,10;94
45,20;94
45,30;94
45,40;94
45,50;94
45,60;94
45,70;94
45,80;94
45,90;94
46,00;94
46,10;94
46,20;94
46,30;94
46,40;94
46,50;94
46,60;94
46,70;94
46,80;94
46,90;94
47,00;94
47,10;94
47,20;94
47,30;94
47,40;94
47,50;94
47,60;94
47,70;94
47,80;94
47,90;94
48,00;94
48,10;94
48,20;94
48,30;94
48,40;94
48,50;94
48,60;94
48,70;94
48,80;94
48,90;94
49,00;94
49,10;94
49,20;94
49,30;94
49,40;94
49,50;94
49,60;94
49,70;94
49,80;94
49,90;94
50,00;94
50,10;94
50,20;94
50,30;94
50,40;94
50,50;94
50,60;94
50,70;94
50,80;94
50,90;94
51,00;94
51,10;94
51,20;94
51,30;94
51,40;94
51,50;94
51,60;94
51,70;94
51,80;94
51,90;94
52,00;94
52,10;94
52,20;94
52,30;94
52,40;94
52,50;94
52,60;94
52,70;94
52,80;94
52,90;94
53,00;94
53,10;94
53,20;94
53,30;94
53,40;94
53,50;94
53,60;94
53,70;94
53,80;94
53,90;94
54,00;94
54,10;94
54,20;94
54,30;94
54,40;94
54,50;94
54,60;94
54,70;94
54,80;94
54,90;94
55,00;94
55,10;94
55,20;94
55,30;94
55,40;94
55,50;94
55,60;94
55,70;94
55,80;94
55,90;94
56,00;94
56,10;94
56,20;94
56,30;94
56,40;94
56,50;94
56,60;94
56,70;94
56,80;94
56,90;94
57,00;94
57,10;94
57,20;94
57,30;94
57,40;94
57,50;94
57,60;94
57,70;94
57,80;94
57,90;94
58,00;94
58,10;94
58,20;94
58,30;94
58,40;94
58,50;94
58,60;94
58,70;94
58,80;94
58,90;94
59,00;94
59,10;94
59,20;94
59,30;94
59,40;94
59,50;94
59,60;94
59,70;94
59,80;94
59,90;94
60,00;94
60,10;94
60,20;94
60,30;94
60,40;94
60,50;94
60,60;94
60,70;94
60,80;94
60,90;94
61,00;94
61,10;94
61,20;94
61,30;94
61,40;94
61,50;94
61,60;94
61,70;94
61,80;94
61,90;94
62,00;94
62,10;94
62,20;94
62,30;94
62,40;94
62,50;94
62,60;94
62,70;94
62,80;94
62,90;94
63,00;94
63,10;94
63,20;94
63,30;94
63,40;94
63,50;94
63,60;94
63,70;94
63,80;94
63,90;94
64,00;94
64,10;94
64,20;94
64,30;94
64,40;94
64,50;94
64,60;93
64,70;93
64,80;93
64,90;93
65,00;93
65,10;93
65,20;93
65,30;93
65,40;93
65,50;93
65,60;93
65,70;93
65,80;93
65,90;93
66,00;93
66,10;93
66,20;93
66,30;93
66,40;93
66,50;93
66,60;93
66,70;93
66,80;93
66,90;93
67,00;93
67,10;93
67,20;93
67,30;93
67,40;93
67,50;93
67,60;93
67,70;93
67,80;93
67,90;93
68,00;93
68,10;93
68,20;93
68,30;93
68,40;93
68,50;93
68,60;93
68,70;93
68,80;93
68,90;93
69,00;93
69,10;93
69,20;93
69,30;93
69,40;93
69,50;93
69,60;93
69,70;93
69,80;93
69,90;93
70,00;93
70,10;93
70,20;93
70,30;93
70,40;93
70,50;93
70,60;93
70,70;93
70,80;93
70,90;92
71,00;92
71,10;92
71,20;92
71,30;92
71,40;92
71,50;92
71,60;92
71,70;92
71,80;92
71,90;92
72,00;92
72,10;92
72,20;92
72,30;92
72,40;92
72,50;92
72,60;92
72,70;92
72,80;92
72,90;92
73,00;92
73,10;92
73,20;92
73,30;92
73,40;92
73,50;92
73,60;92
73,70;92
73,80;92
73,90;92
74,00;92
74,10;92
74,20;92
74,30;92
74,40;92
74,50;92
74,60;92
74,70;92
74,80;92
74,90;92
75,00;92
75,10;92
75,20;92
75,30;92
75,40;92
75,50;92
75,60;92
75,70;92
75,80;92
75,90;91
76,00;91
76,10;91
76,20;91
76,30;91
76,40;91
76,50;91
76,60;91
76,70;91
76,80;91
76,90;91
77,00;91
77,10;91
77,20;91
77,30;91
77,40;91
77,50;91
77,60;91
77,70;91
77,80;91
77,90;91
78,00;91
78,10;91
78,20;91
78,30;91
78,40;91
78,50;91
78,60;91
78,70;91
78,80;91
78,90;91
79,00;91
79,10;91
79,20;91
79,30;91
79,40;91
79,50;91
79,60;91
79,70;91
79,80;91
79,90;91
80,00;91
80,10;91
80,20;91
80,30;91
80,40;91
80,50;91
80,60;91
80,70;91
80,80;91
80,90;91
81,00;91
81,10;91
81,20;91
81,30;91
81,40;91
81,50;91
81,60;91
81,70;91
81,80;91
81,90;91
82,00;91
82,10;91
82,20;91
82,30;91
82,40;91
82,50;91
82,60;91
82,70;91
82,80;91
82,90;91
83,00;91
83,10;91
83,20;91
83,30;91
83,40;91
83,50;91
83,60;91
83,70;91
83,80;91
83,90;91
84,00;91
84,10;91
84,20;91
84,30;91
84,40;91
84,50;91
84,60;91
84,70;91
84,80;91
84,90;91
85,00;91
85,10;91
85,20;91
85,30;91
85,40;91
85,50;91
85,60;91
85,70;91
85,80;91
85,90;91
86,00;91
86,10;91
86,20;91
86,30;91
86,40;91
86,50;91
86,60;91
86,70;91
86,80;91
86,90;91
87,00;91
87,10;91
87,20;91
87,30;91
87,40;91
87,50;91
87,60;91
87,70;91
87,80;91
87,90;91
88,00;91
88,10;91
88,20;91
88,30;91
88,40;91
88,50;91
88,60;91
88,70;91
88,80;91
88,90;91
89,00;91
89,10;91
89,20;91
89,30;91
89,40;91
89,50;91
89,60;91
89,70;91
89,80;91
89,90;91
90,00;90
90,10;90
90,20;90
90,30;90
90,40;90
90,50;90
90,60;90
90,70;90
90,80;90
90,90;90
91,00;90
91,10;90
91,20;90
91,30;90
91,40;90
91,50;90
91,60;90
91,70;90
91,80;90
91,90;90
92,00;90
92,10;90
92,20;90
92,30;90
92,40;90
92,50;90
92,60;90
92,70;90
92,80;90
92,90;90
93,00;90
93,10;90
93,20;90
93,30;90
93,40;90
93,50;90
93,60;90
93,70;90
93,80;90
93,90;90
94,00;90
94,10;90
94,20;90
94,30;90
94,40;89
94,50;89
94,60;89
94,70;89
94,80;89
94,90;89
95,00;89
95,10;89
95,20;89
95,30;89
95,40;89
95,50;89
95,60;89
95,70;89
95,80;89
95,90;89
96,00;89
96,10;89
96,20;89
96,30;89
96,40;89
96,50;89
96,60;89
96,70;89
96,80;89
96,90;89
97,00;89
97,10;89
97,20;89
97,30;89
97,40;89
97,50;89
97,60;89
97,70;89
97,80;89
97,90;89
98,00;89
98,10;89
98,20;89
98,30;89
98,40;89
98,50;89
98,60;89
98,70;89
98,80;89
98,90;89
99,00;89
99,10;89
99,20;89
99,30;89
99,40;89
99,50;89
99,60;89
99,70;89
99,80;89
99,90;89
