Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);;;Parameters:;
0;1;1;0;nan;;;EtaF;1000
;93,16;95,64;78,3;127,95;;;BetaF;0.78
;177,76;182,36;155,21;204,86;;;MuR;06.фев
;257,23;263,6;230,75;280,4;;;SigmaR;0.7
;334,51;341,22;304,95;354,61;;;Initial N;10000
;407,8;415,94;377,84;427,49;;;Delta t;0.1
;479,31;489,11;449,43;499,09;;;T (seconds);25200
;548,75;559,39;519,76;569,41;;;Number of experiments;100
;616,52;628,14;588,83;638,49;;;;
;679,91;692,44;656,68;706,34;;;;
;742,67;756,18;723,33;772,99;;;;
;802,64;817,08;788,8;838,45;;;;
;858,26;873,9;853,1;902,75;;;;
;913,48;929,37;916,26;965,92;;;;
;966,08;981,93;978,3;1027,96;;;;
;1015,28;1031,63;1039,25;1088,9;;;;
;1062,5;1078,59;1099,11;1148,76;;;;
;1107,4;1123,7;1157,9;1207,56;;;;
;1149,33;1167,49;1215,66;1265,31;;;;
;1189,18;1208,15;1272,39;1322,04;;;;
;1226,86;1246,52;1328,11;1377,77;;;;
;1263,14;1283,8;1382,85;1432,5;;;;
;1297,94;1319,03;1436,61;1486,27;;;;
;1331,07;1352,77;1489,42;1539,08;;;;
;1362,12;1384,2;1541,3;1590,95;;;;
;1390,95;1413,45;1592,25;1641,91;;;;
;1420,57;1442,16;1642,3;1691,95;;;;
;1448,16;1470,07;1691,46;1741,12;;;;
;1474,82;1496,33;1739,75;1789,41;;;;
;1500,99;1524,16;1787,18;1836,84;;;;
;1525,37;1548,94;1833,77;1883,43;;;;
;1549,03;1573,33;1879,54;1929,19;;;;
;1572,14;1596,59;1924,49;1974,15;;;;
;1593,91;1618,54;1968,65;2018,3;;;;
;1614,39;1638,5;2012,02;2061,67;;;;
;1634,57;1658,54;2054,62;2104,28;;;;
;1654,99;1679,12;2096,47;2146,12;;;;
;1674,45;1699,76;2137,57;2187,23;;;;
;1692,84;1716,72;2177,95;2227,6;;;;
;1711,16;1736,42;2217,61;2267,26;;;;
;1728,35;1755,09;2256,56;2306,22;;;;
;1746,1;1773,64;2294,83;2344,48;;;;
;1763,07;1790,4;2332,41;2382,07;;;;
;1779,75;1807,32;2369,33;2418,98;;;;
;1795,33;1823,57;2405,59;2455,25;;;;
;1811,02;1839,01;2441,21;2490,87;;;;
;1825,99;1855,02;2476,2;2525,86;;;;
;1841,17;1870,3;2510,57;2560,22;;;;
;1856,7;1886,67;2544,33;2593,98;;;;
;1870,55;1901,11;2577,49;2627,14;;;;
;1885,34;1917,21;2610,06;2659,71;;;;
;1899,45;1931,78;2642,05;2691,7;;;;
;1913,25;1945,87;2673,47;2723,13;;;;
;1928,03;1959,4;2704,34;2754;;;;
;1941,75;1973,8;2734,66;2784,32;;;;
;1955,82;1988,15;2764,44;2814,1;;;;
;1970,37;2003,1;2793,7;2843,35;;;;
;1983;2015,96;2822,43;2872,09;;;;
;1996,39;2029,35;2850,66;2900,31;;;;
;2009,87;2043,58;2878,38;2928,04;;;;
;2022,34;2055,98;2905,61;2955,27;;;;
;2035,58;2067,34;2932,36;2982,02;;;;
;2048,17;2080,35;2958,64;3008,29;;;;
;2062,25;2094,82;2984,45;3034,1;;;;
;2074,87;2107,84;3009,8;3059,45;;;;
;2087,29;2120,62;3034,7;3084,35;;;;
;2101,42;2135,44;3059,16;3108,81;;;;
;2113,89;2147,09;3083,18;3132,84;;;;
;2126,3;2160,02;3106,78;3156,44;;;;
;2138,79;2172,69;3129,96;3179,62;;;;
;2150,75;2184,72;3152,73;3202,39;;;;
;2162,73;2197,49;3175,1;3224,75;;;;
;2174,72;2210,1;3197,07;3246,72;;;;
;2186,3;2221,67;3218,65;3268,3;;;;
;2198,82;2234,3;3239,84;3289,5;;;;
;2211,6;2248,13;3260,66;3310,32;;;;
;2223,67;2261,01;3281,11;3330,77;;;;
;2235,38;2273,85;3301,2;3350,85;;;;
;2247,98;2285,71;3320,93;3370,59;;;;
;2259,35;2296,92;3340,31;3389,97;;;;
;2271,86;2310,55;3359,35;3409;;;;
;2283,56;2321,96;3378,05;3427,7;;;;
;2295,71;2333,86;3396,42;3446,07;;;;
;2307,79;2346,42;3414,46;3464,11;;;;
;2319,51;2357,59;3432,18;3481,84;;;;
;2331,31;2369,41;3449,59;3499,24;;;;
;2343,51;2381,4;3466,69;3516,34;;;;
;2355,45;2392,92;3483,48;3533,14;;;;
;2366,68;2404,68;3499,98;3549,64;;;;
;2378,58;2416,79;3516,19;3565,84;;;;
;2390,44;2429,26;3532,1;3581,76;;;;
;2401,62;2439,65;3547,74;3597,39;;;;
;2413,84;2452,13;3563,1;3612,75;;;;
;2425,01;2463,21;3578,18;3627,84;;;;
;2436,27;2474,08;3593;3642,65;;;;
