Parameters:
Lambda;0.001
Initial N;10000
Delta t;0.001
T (time steps);25
Number of experiments;10000
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);
0,00;0,01;0,10;0,00;-nan;
;0,95;1,90;0,95;4,11;
;1,81;3,13;1,81;4,97;
;2,57;4,15;2,59;5,75;
;3,25;5,07;3,30;6,46;
;3,90;5,88;3,93;7,09;
;4,48;6,60;4,51;7,67;
;4,99;7,25;5,03;8,19;
;5,46;7,81;5,50;8,66;
;5,90;8,31;5,93;9,09;
;6,29;8,80;6,32;9,48;
;6,65;9,23;6,67;9,83;
;6,96;9,58;6,98;10,14;
;7,24;9,88;7,27;10,43;
;7,48;10,16;7,53;10,69;
;7,70;10,45;7,76;10,92;
;7,91;10,70;7,98;11,14;
;8,11;10,93;8,17;11,33;
0,50;8,28;11,17;8,34;11,50;
;8,44;11,36;8,50;11,66;
;8,58;11,56;8,64;11,80;
;8,70;11,70;8,77;11,93;
;8,83;11,86;8,89;12,04;
;8,96;11,97;8,99;12,15;
;9,06;12,07;9,09;12,25;
;9,18;12,19;9,17;12,33;
;9,28;12,30;9,25;12,41;
;9,38;12,41;9,32;12,48;
;9,47;12,51;9,38;12,54;
;9,51;12,55;9,44;12,60;
;9,58;12,65;9,49;12,65;
;9,61;12,70;9,54;12,70;
;9,69;12,78;9,58;12,74;
;9,74;12,83;9,62;12,78;
;9,77;12,85;9,66;12,82;
;9,78;12,87;9,69;12,85;
1,00;9,79;12,88;9,72;12,88;
;9,78;12,88;9,74;12,90;
;9,83;12,92;9,77;12,93;
;9,85;12,93;9,79;12,95;
;9,86;12,94;9,81;12,97;
;9,84;12,92;9,83;12,98;
;9,83;12,91;9,84;13,00;
;9,85;12,94;9,86;13,01;
;9,85;12,96;9,87;13,03;
;9,88;13,00;9,88;13,04;
;9,88;13,01;9,89;13,05;
;9,89;13,02;9,90;13,06;
;9,87;12,99;9,91;13,07;
;9,88;13,00;9,92;13,08;
;9,88;13,00;9,92;13,08;
;9,86;12,97;9,93;13,09;
;9,87;12,99;9,94;13,09;
;9,87;13,00;9,94;13,10;
1,50;9,88;13,01;9,95;13,10;
;9,86;13,04;9,95;13,11;
