Parameters:
Lambda;0.001
Initial N;10000
Delta t;0.001
T (time steps);25
Number of experiments;1000
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);
0,00;0,01;0,10;0,00;-nan;
;0,93;1,87;0,95;4,11;
;1,90;3,18;1,81;4,97;
;2,65;4,16;2,59;5,75;
;3,32;5,01;3,30;6,46;
;3,92;5,83;3,93;7,09;
;4,51;6,65;4,51;7,67;
;4,85;7,06;5,03;8,19;
;5,43;7,68;5,50;8,66;
;5,85;8,25;5,93;9,09;
;6,29;8,82;6,32;9,48;
;6,52;9,10;6,67;9,83;
;6,86;9,43;6,98;10,14;
;7,07;9,64;7,27;10,43;
;7,37;9,98;7,53;10,69;
;7,62;10,34;7,76;10,92;
;7,73;10,56;7,98;11,14;
;7,89;10,72;8,17;11,33;
0,50;8,01;10,92;8,34;11,50;
;8,11;11,07;8,50;11,66;
;8,26;11,34;8,64;11,80;
;8,41;11,52;8,77;11,93;
;8,53;11,65;8,89;12,04;
;8,79;11,92;8,99;12,15;
;8,94;12,05;9,09;12,25;
;9,12;12,25;9,17;12,33;
;9,22;12,39;9,25;12,41;
;9,33;12,52;9,32;12,48;
;9,44;12,69;9,38;12,54;
;9,33;12,48;9,44;12,60;
;9,46;12,46;9,49;12,65;
;9,52;12,57;9,54;12,70;
;9,53;12,52;9,58;12,74;
;9,47;12,50;9,62;12,78;
;9,53;12,53;9,66;12,82;
;9,65;12,68;9,69;12,85;
1,00;9,67;12,71;9,72;12,88;
;9,77;12,96;9,74;12,90;
;9,85;12,97;9,77;12,93;
;9,83;12,89;9,79;12,95;
;9,87;12,99;9,81;12,97;
;9,76;12,84;9,83;12,98;
;9,70;12,72;9,84;13,00;
;9,74;12,83;9,86;13,01;
;9,78;12,89;9,87;13,03;
;9,80;13,06;9,88;13,04;
;9,81;13,12;9,89;13,05;
;9,84;13,12;9,90;13,06;
;9,84;12,95;9,91;13,07;
;9,82;12,93;9,92;13,08;
;9,95;13,16;9,92;13,08;
;10,04;13,21;9,93;13,09;
;10,15;13,32;9,94;13,09;
;10,09;13,07;9,94;13,10;
1,50;10,07;13,04;9,95;13,10;
;10,11;13,13;9,95;13,11;
;10,15;13,17;9,95;13,11;
;10,20;13,15;9,96;13,12;
;10,20;13,29;9,96;13,12;
;10,14;13,14;9,96;13,12;
;10,22;13,17;9,97;13,12;
;10,23;13,30;9,97;13,13;
;10,23;13,33;9,97;13,13;
;10,08;13,19;9,97;13,13;
;9,95;13,15;9,97;13,13;
;9,98;13,11;9,98;13,13;
;9,93;13,05;9,98;13,14;
;9,91;13,04;9,98;13,14;
;9,89;13,08;9,98;13,14;
;9,91;13,05;9,98;13,14;
;9,86;13,01;9,98;13,14;
;9,89;12,98;9,98;13,14;
2,00;9,86;12,99;9,98;13,14;
;9,84;13,06;9,98;13,14;
;9,86;12,98;9,98;13,14;
;9,85;12,95;9,98;13,14;
;10,01;13,28;9,99;13,14;
