Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);;;;Parameters:;;;;;;
0;0,01;0,11;0;#ИМЯ?;;;;Lambda;0.001;;;Время выполнения;;120,5 секунд
;0,96;1,92;0,95;4,11;;;;Initial N;10000;;;;;
;1,82;3,16;1,81;4,97;;;;Delta t;0.001;;;;;
;2,59;4,18;2,59;5,75;;;;T (time steps);25;;;;;
;3,29;5,1;3,3;6,46;;;;Number of experiments;100000;;;;;
;3,94;5,92;3,93;7,09;;;;Nu;1;;;;;
;4,5;6,62;4,51;7,67;;;;;;;;;;
;5,01;7,27;5,03;8,19;;;;;;;;;;
;5,49;7,83;5,5;8,66;;;;;;;;;;
;5,92;8,34;5,93;9,09;;;;;;;;;;
;6,3;8,8;6,32;9,48;;;;;;;;;;
;6,64;9,22;6,67;9,83;;;;;;;;;;
;6,97;9,59;6,98;10,14;;;;;;;;;;
;7,26;9,93;7,27;10,43;;;;;;;;;;
;7,51;10,23;7,53;10,69;;;;;;;;;;
;7,74;10,52;7,76;10,92;;;;;;;;;;
;7,95;10,76;7,98;11,14;;;;;;;;;;
;8,15;10,99;8,17;11,33;;;;;;;;;;
0,5;8,33;11,22;8,34;11,5;;;;;;;;;;
;8,49;11,4;8,5;11,66;;;;;;;;;;
;8,63;11,56;8,64;11,8;;;;;;;;;;
;8,75;11,72;8,77;11,93;;;;;;;;;;
;8,86;11,85;8,89;12,04;;;;;;;;;;
;8,96;11,97;8,99;12,15;;;;;;;;;;
;9,06;12,07;9,09;12,25;;;;;;;;;;
;9,16;12,16;9,17;12,33;;;;;;;;;;
;9,25;12,27;9,25;12,41;;;;;;;;;;
;9,34;12,38;9,32;12,48;;;;;;;;;;
;9,42;12,46;9,38;12,54;;;;;;;;;;
;9,47;12,53;9,44;12,6;;;;;;;;;;
;9,53;12,6;9,49;12,65;;;;;;;;;;
;9,57;12,65;9,54;12,7;;;;;;;;;;
;9,62;12,72;9,58;12,74;;;;;;;;;;
;9,67;12,78;9,62;12,78;;;;;;;;;;
;9,7;12,8;9,66;12,82;;;;;;;;;;
;9,74;12,85;9,69;12,85;;;;;;;;;;
1;9,76;12,88;9,72;12,88;;;;;;;;;;
;9,77;12,89;9,74;12,9;;;;;;;;;;
;9,8;12,92;9,77;12,93;;;;;;;;;;
;9,82;12,91;9,79;12,95;;;;;;;;;;
;9,84;12,93;9,81;12,97;;;;;;;;;;
;9,85;12,95;9,83;12,98;;;;;;;;;;
;9,84;12,93;9,84;13;;;;;;;;;;
;9,87;12,96;9,86;13,01;;;;;;;;;;
;9,88;12,98;9,87;13,03;;;;;;;;;;
;9,9;13,02;9,88;13,04;;;;;;;;;;
;9,91;13,05;9,89;13,05;;;;;;;;;;
;9,91;13,05;9,9;13,06;;;;;;;;;;
;9,89;13,01;9,91;13,07;;;;;;;;;;
;9,89;13,02;9,92;13,08;;;;;;;;;;
;9,89;13,02;9,92;13,08;;;;;;;;;;
;9,88;13,01;9,93;13,09;;;;;;;;;;
;9,89;13;9,94;13,09;;;;;;;;;;
;9,88;13,01;9,94;13,1;;;;;;;;;;
1,5;9,88;13;9,95;13,1;;;;;;;;;;
;9,89;13,03;9,95;13,11;;;;;;;;;;
;9,88;13,02;9,95;13,11;;;;;;;;;;
;9,9;13,02;9,96;13,12;;;;;;;;;;
;9,9;13,03;9,96;13,12;;;;;;;;;;
;9,91;13,03;9,96;13,12;;;;;;;;;;
;9,92;13,04;9,97;13,12;;;;;;;;;;
;9,94;13,08;9,97;13,13;;;;;;;;;;
;9,96;13,09;9,97;13,13;;;;;;;;;;
;9,96;13,09;9,97;13,13;;;;;;;;;;
;9,95;13,08;9,97;13,13;;;;;;;;;;
;9,97;13,09;9,98;13,13;;;;;;;;;;
;9,96;13,07;9,98;13,14;;;;;;;;;;
;9,97;13,1;9,98;13,14;;;;;;;;;;
;9,99;13,11;9,98;13,14;;;;;;;;;;
;10;13,13;9,98;13,14;;;;;;;;;;
;10;13,14;9,98;13,14;;;;;;;;;;
;9,97;13,12;9,98;13,14;;;;;;;;;;
2;9,96;13,1;9,98;13,14;;;;;;;;;;
;9,96;13,11;9,98;13,14;;;;;;;;;;
;9,97;13,13;9,98;13,14;;;;;;;;;;
;9,99;13,15;9,98;13,14;;;;;;;;;;
;9,99;13,13;9,99;13,14;;;;;;;;;;
;10,01;13,18;9,99;13,14;;;;;;;;;;
;10;13,19;9,99;13,15;;;;;;;;;;
;10,01;13,19;9,99;13,15;;;;;;;;;;
;10,03;13,2;9,99;13,15;;;;;;;;;;
;10,04;13,21;9,99;13,15;;;;;;;;;;
;10,04;13,19;9,99;13,15;;;;;;;;;;
;10,03;13,17;9,99;13,15;;;;;;;;;;
;10,03;13,19;9,99;13,15;;;;;;;;;;
;10,02;13,18;9,99;13,15;;;;;;;;;;
;10;13,15;9,99;13,15;;;;;;;;;;
;10,01;13,17;9,99;13,15;;;;;;;;;;
;10;13,17;9,99;13,15;;;;;;;;;;
;10,02;13,16;9,99;13,15;;;;;;;;;;
2,5;10,02;13,18;9,99;13,15;;;;;;;;;;
;10,02;13,18;9,99;13,15;;;;;;;;;;
;10,01;13,17;9,99;13,15;;;;;;;;;;
;10,01;13,17;9,99;13,15;;;;;;;;;;
;10;13,16;9,99;13,15;;;;;;;;;;
;10;13,18;9,99;13,15;;;;;;;;;;
;10,01;13,2;9,99;13,15;;;;;;;;;;
;10,02;13,19;9,99;13,15;;;;;;;;;;
;10;13,19;9,99;13,15;;;;;;;;;;
;10;13,17;9,99;13,15;;;;;;;;;;
;9,98;13,15;9,99;13,15;;;;;;;;;;
