Parameters:
Lambda_f;0.001154
Beta_f;0.78
Initial N;10000
Delta t;0.001
T;25.2
Number of experiments;10000
Nu;1

Time;WorkingMean;WorkingMean+Sqrt(Var);
0,00;0,05;0,27;
;1,80;3,13;
;2,93;4,63;
;3,79;5,72;
;4,49;6,61;
;5,09;7,35;
;5,58;7,94;
;5,98;8,43;
;6,31;8,82;
;6,62;9,17;
;6,85;9,43;
;7,03;9,66;
;7,18;9,83;
;7,31;9,99;
;7,41;10,13;
;7,50;10,23;
;7,56;10,30;
;7,59;10,33;
0,50;7,64;10,39;
;7,67;10,44;
;7,70;10,47;
;7,71;10,48;
;7,71;10,49;
;7,69;10,46;
;7,68;10,44;
;7,67;10,43;
;7,63;10,39;
;7,60;10,36;
;7,55;10,32;
;7,52;10,27;
;7,48;10,21;
;7,45;10,16;
;7,41;10,10;
;7,36;10,04;
;7,32;10,02;
;7,25;9,96;
1,00;7,21;9,89;
;7,17;9,83;
;7,14;9,81;
;7,10;9,76;
;7,07;9,73;
;7,02;9,67;
;6,99;9,61;
;6,93;9,55;
;6,89;9,50;
;6,86;9,45;
;6,82;9,40;
;6,78;9,38;
;6,74;9,31;
;6,70;9,27;
;6,67;9,25;
;6,64;9,23;
;6,61;9,20;
;6,58;9,15;
1,50;6,52;9,09;
;6,49;9,03;
;6,45;8,99;
;6,43;8,94;
;6,40;8,93;
;6,40;8,93;
;6,38;8,91;
;6,35;8,87;
;6,34;8,84;
;6,30;8,80;
;6,30;8,79;
;6,26;8,75;
;6,23;8,72;
;6,20;8,69;
;6,17;8,65;
;6,15;8,62;
;6,13;8,59;
;6,11;8,58;
2,00;6,08;8,54;
;6,05;8,50;
;6,04;8,50;
;6,01;8,47;
;6,00;8,46;
;5,98;8,41;
;5,97;8,41;
;5,94;8,38;
;5,94;8,38;
;5,91;8,34;
;5,88;8,30;
;5,86;8,29;
;5,84;8,27;
;5,81;8,24;
;5,76;8,19;
;5,75;8,17;
;5,73;8,14;
;5,71;8,11;
2,50;5,69;8,09;
;5,68;8,07;
;5,68;8,06;
;5,66;8,04;
;5,65;8,02;
;5,65;8,01;
;5,63;7,99;
;5,61;7,95;
;5,58;7,91;
;5,56;7,89;
;5,57;7,91;
;5,57;7,91;
;5,55;7,88;
;5,52;7,84;
;5,51;7,82;
;5,50;7,79;
;5,50;7,81;
;5,48;7,79;
3,00;5,47;7,78;
;5,43;7,75;
;5,41;7,72;
;5,40;7,71;
;5,39;7,69;
;5,38;7,70;
;5,38;7,70;
;5,37;7,68;
;5,35;7,66;
;5,34;7,66;
;5,33;7,64;
;5,33;7,65;
;5,32;7,62;
;5,31;7,60;
;5,30;7,59;
;5,30;7,58;
;5,28;7,57;
;5,26;7,54;
3,50;5,25;7,52;
;5,24;7,52;
;5,22;7,50;
;5,21;7,50;
;5,20;7,49;
;5,21;7,49;
;5,19;7,47;
;5,19;7,46;
;5,18;7,46;
;5,17;7,44;
;5,15;7,43;
;5,15;7,43;
;5,16;7,46;
;5,15;7,43;
;5,14;7,42;
;5,13;7,39;
;5,11;7,38;
;5,10;7,37;
4,00;5,10;7,37;
;5,07;7,33;
;5,06;7,32;
;5,04;7,29;
;5,04;7,30;
;5,04;7,28;
;5,04;7,27;
;5,03;7,24;
;5,02;7,22;
;5,00;7,20;
;4,99;7,21;
;5,01;7,24;
;5,00;7,25;
;4,98;7,22;
;4,98;7,23;
;4,98;7,21;
;4,96;7,18;
;4,96;7,19;
4,50;4,96;7,20;
;4,94;7,19;
;4,92;7,16;
;4,91;7,14;
;4,92;7,15;
;4,91;7,13;
;4,91;7,14;
;4,91;7,13;
;4,90;7,12;
;4,90;7,11;
;4,89;7,10;
;4,89;7,10;
;4,86;7,06;
;4,86;7,06;
;4,85;7,04;
;4,83;7,00;
;4,83;7,00;
;4,81;6,97;
5,00;4,82;6,98;
;4,82;6,99;
;4,82;7,01;
;4,81;6,99;
;4,81;6,99;
;4,80;6,96;
;4,78;6,95;
;4,75;6,92;
;4,75;6,90;
;4,75;6,91;
;4,75;6,91;
;4,76;6,94;
;4,75;6,93;
;4,75;6,93;
;4,75;6,92;
;4,75;6,93;
;4,74;6,92;
;4,74;6,91;
5,50;4,72;6,90;
;4,72;6,91;
;4,70;6,86;
;4,69;6,86;
;4,68;6,85;
;4,69;6,86;
;4,68;6,86;
;4,68;6,86;
;4,67;6,86;
;4,67;6,84;
;4,66;6,82;
;4,65;6,78;
;4,65;6,79;
;4,65;6,79;
;4,64;6,79;
;4,65;6,79;
;4,65;6,77;
;4,65;6,79;
6,00;4,64;6,76;
;4,63;6,76;
;4,64;6,76;
;4,64;6,77;
;4,64;6,78;
;4,64;6,77;
;4,63;6,77;
;4,62;6,75;
;4,60;6,75;
;4,59;6,73;
;4,58;6,72;
;4,57;6,69;
;4,56;6,69;
;4,56;6,67;
;4,57;6,69;
;4,56;6,70;
;4,56;6,70;
;4,55;6,67;
6,50;4,55;6,68;
;4,54;6,67;
;4,53;6,66;
;4,50;6,64;
;4,51;6,63;
;4,51;6,64;
;4,51;6,65;
;4,50;6,62;
;4,51;6,63;
;4,51;6,63;
;4,49;6,61;
;4,48;6,59;
;4,47;6,57;
;4,47;6,57;
;4,48;6,57;
;4,47;6,57;
;4,46;6,56;
;4,45;6,54;
