Parameters:
Lambda_f;0.001
Beta_f;0.78
Initial N;10000
Delta t;0.001
T (time steps);25.2
Number of experiments;1000
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);
0,00;0,03;0,21;
;1,70;3,04;
;2,61;4,17;
;3,21;4,88;
;3,86;5,78;
;4,35;6,40;
;4,79;7,13;
;5,20;7,73;
;5,58;8,12;
;5,91;8,54;
;6,24;8,93;
;6,31;9,07;
;6,42;9,34;
;6,58;9,51;
;6,76;9,77;
;6,82;9,63;
;6,90;9,69;
;6,94;9,70;
0,50;6,88;9,76;
;6,69;9,35;
;6,61;9,14;
;6,57;9,13;
;6,64;9,25;
;6,61;9,22;
;6,67;9,16;
;6,70;9,19;
;6,64;9,18;
;6,58;9,15;
;6,65;9,18;
;6,66;9,05;
;6,64;9,14;
;6,60;9,29;
;6,75;9,57;
;6,77;9,59;
;6,78;9,50;
;6,61;9,31;
1,00;6,60;9,30;
;6,50;9,16;
;6,56;9,24;
;6,58;9,04;
;6,33;8,89;
;6,22;8,72;
;6,14;8,72;
;6,08;8,70;
;6,03;8,59;
;5,98;8,62;
;6,10;8,64;
;6,10;8,68;
;5,92;8,27;
;5,79;8,17;
;5,70;8,05;
;5,80;8,15;
;5,84;8,25;
;5,74;8,13;
1,50;5,58;7,94;
;5,65;8,01;
;5,62;8,00;
;5,47;7,83;
;5,50;7,90;
;5,42;7,80;
;5,26;7,52;
;5,34;7,65;
;5,46;7,78;
;5,46;7,78;
;5,31;7,58;
;5,30;7,57;
;5,25;7,54;
;5,26;7,61;
;5,33;7,71;
;5,29;7,63;
;5,20;7,60;
;5,13;7,54;
2,00;4,96;7,30;
;5,20;7,75;
;5,22;7,63;
;5,09;7,53;
;5,07;7,47;
;4,99;7,22;
;4,97;7,22;
;4,93;7,01;
;4,94;7,03;
;5,02;7,17;
;4,79;7,05;
;4,81;7,03;
;4,98;7,09;
;4,97;7,03;
;4,92;6,95;
;4,92;7,07;
;5,11;7,36;
;4,98;7,24;
2,50;4,89;7,09;
;4,88;7,00;
;4,76;6,82;
;4,92;7,15;
;4,89;7,16;
;4,97;7,39;
;4,88;7,30;
;4,90;7,32;
;4,86;7,39;
;4,78;7,24;
;4,75;7,09;
;4,68;6,89;
;4,78;6,96;
;4,92;7,16;
;4,84;7,01;
;4,99;7,27;
;4,99;7,29;
;4,89;7,14;
3,00;4,85;7,12;
;4,76;6,97;
;4,79;6,94;
;4,61;6,69;
;4,44;6,48;
;4,35;6,35;
;4,36;6,45;
;4,30;6,34;
;4,32;6,41;
;4,46;6,47;
;4,60;6,82;
;4,49;6,75;
;4,56;6,73;
;4,49;6,63;
;4,44;6,56;
;4,62;6,75;
;4,43;6,57;
;4,38;6,40;
3,50;4,38;6,24;
;4,44;6,35;
;4,32;6,19;
;4,42;6,28;
;4,42;6,32;
;4,48;6,42;
;4,40;6,39;
;4,45;6,48;
;4,53;6,53;
;4,62;6,82;
;4,51;6,65;
;4,38;6,54;
;4,34;6,34;
;4,35;6,53;
;4,37;6,45;
;4,29;6,34;
;4,33;6,47;
;4,34;6,51;
4,00;4,32;6,41;
;4,33;6,41;
;4,32;6,22;
;4,27;6,27;
;4,22;6,30;
;4,26;6,32;
;4,30;6,40;
;4,30;6,30;
;4,34;6,28;
;4,40;6,52;
;4,40;6,53;
;4,48;6,55;
;4,42;6,44;
;4,31;6,33;
;4,34;6,46;
;4,27;6,31;
;4,30;6,37;
;4,21;6,26;
4,50;4,02;5,95;
;3,92;5,96;
;4,08;6,27;
;4,11;6,28;
;4,10;6,28;
;4,05;6,25;
;4,10;6,28;
;4,19;6,39;
;4,26;6,40;
;4,34;6,40;
;4,30;6,34;
;4,17;6,23;
;4,13;6,16;
;4,15;6,16;
;4,16;6,26;
;4,16;6,37;
;4,13;6,33;
;4,06;6,26;
5,00;3,95;6,02;
;3,95;5,98;
;3,97;6,04;
;3,94;5,89;
;3,97;5,92;
;4,10;6,05;
;4,10;6,05;
;4,03;5,94;
;4,10;6,08;
;4,24;6,25;
;4,26;6,30;
;4,34;6,38;
;4,31;6,40;
;4,38;6,37;
;4,34;6,38;
;4,42;6,44;
;4,42;6,51;
;4,38;6,46;
5,50;4,34;6,43;
;4,34;6,61;
;4,18;6,31;
;4,21;6,24;
;4,27;6,34;
;4,35;6,50;
;4,18;6,29;
;4,13;6,15;
;4,03;6,08;
;4,02;6,13;
;4,06;6,05;
;3,91;5,88;
;4,08;6,07;
;4,11;6,06;
;3,97;5,96;
;3,91;6,01;
;3,96;6,00;
;4,04;5,93;
6,00;4,04;5,94;
;3,97;5,85;
;3,83;5,67;
;3,89;5,75;
;3,88;5,77;
;3,93;5,94;
;3,80;5,86;
;3,82;5,82;
;3,84;5,99;
;3,90;6,05;
;3,94;6,09;
;3,88;6,03;
;3,78;5,87;
;3,75;5,98;
;3,75;5,92;
;3,67;5,75;
;3,64;5,67;
;3,73;5,82;
6,50;3,76;5,85;
;3,73;5,79;
;3,68;5,75;
;3,66;5,74;
;3,64;5,74;
;3,86;5,97;
;4,00;6,21;
;3,93;6,14;
;3,85;5,93;
;3,75;5,81;
;3,80;5,80;
;3,73;5,79;
;3,96;5,96;
;3,90;5,80;
;3,86;5,81;
;3,82;5,70;
;3,66;5,53;
;3,73;5,61;
