Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);;Parameters:;
0;0,05;0,27;0;#ИМЯ?;;Lambda_f;0.001154
;1,8;3,12;0,95;4,11;;Beta_f;0.78
;2,96;4,64;1,81;4,97;;Initial N;10000
;3,83;5,77;2,59;5,75;;Delta t;0.001
;4,56;6,71;3,3;6,46;;T (time steps);150
;5,15;7,43;3,93;7,09;;Number of experiments;10000
;5,68;8,08;4,51;7,67;;Nu;1
;6,08;8,57;5,03;8,19;;;
;6,43;8,94;5,5;8,66;;;
;6,7;9,23;5,93;9,09;;;
;6,92;9,54;6,32;9,48;;;
;7,11;9,81;6,67;9,83;;;
;7,31;10,04;6,98;10,14;;;
;7,4;10,09;7,27;10,43;;;
;7,53;10,28;7,53;10,69;;;
;7,66;10,44;7,76;10,92;;;
;7,67;10,48;7,98;11,14;;;
;7,69;10,49;8,17;11,33;;;
0,5;7,73;10,55;8,34;11,5;;;
;7,72;10,5;8,5;11,66;;;
;7,77;10,54;8,64;11,8;;;
;7,74;10,46;8,77;11,93;;;
;7,73;10,45;8,89;12,04;;;
;7,69;10,38;8,99;12,15;;;
;7,73;10,42;9,09;12,25;;;
;7,73;10,44;9,17;12,33;;;
;7,7;10,42;9,25;12,41;;;
;7,73;10,51;9,32;12,48;;;
;7,76;10,53;9,38;12,54;;;
;7,73;10,53;9,44;12,6;;;
;7,67;10,45;9,49;12,65;;;
;7,62;10,44;9,54;12,7;;;
;7,58;10,4;9,58;12,74;;;
;7,6;10,42;9,62;12,78;;;
;7,5;10,25;9,66;12,82;;;
;7,45;10,14;9,69;12,85;;;
1;7,34;10,02;9,72;12,88;;;
;7,28;9,93;9,74;12,9;;;
;7,24;9,89;9,77;12,93;;;
;7,18;9,85;9,79;12,95;;;
;7,17;9,87;9,81;12,97;;;
;7,05;9,74;9,83;12,98;;;
;7,01;9,67;9,84;13;;;
;6,94;9,58;9,86;13,01;;;
;6,9;9,51;9,87;13,03;;;
;6,84;9,49;9,88;13,04;;;
;6,81;9,4;9,89;13,05;;;
;6,78;9,37;9,9;13,06;;;
;6,74;9,28;9,91;13,07;;;
;6,65;9,18;9,92;13,08;;;
;6,61;9,08;9,92;13,08;;;
;6,56;9,02;9,93;13,09;;;
;6,51;8,97;9,94;13,09;;;
;6,46;8,9;9,94;13,1;;;
1,5;6,48;8,94;9,95;13,1;;;
;6,46;8,91;9,95;13,11;;;
;6,39;8,84;9,95;13,11;;;
;6,38;8,79;9,96;13,12;;;
;6,34;8,76;9,96;13,12;;;
;6,34;8,78;9,96;13,12;;;
;6,34;8,81;9,97;13,12;;;
;6,37;8,84;9,97;13,13;;;
;6,31;8,8;9,97;13,13;;;
;6,3;8,8;9,97;13,13;;;
;6,28;8,75;9,97;13,13;;;
;6,25;8,72;9,98;13,13;;;
;6,22;8,68;9,98;13,14;;;
;6,14;8,55;9,98;13,14;;;
;6,16;8,58;9,98;13,14;;;
;6,18;8,61;9,98;13,14;;;
;6,13;8,53;9,98;13,14;;;
;6,04;8,41;9,98;13,14;;;
2;6,04;8,47;9,98;13,14;;;
;6,03;8,47;9,98;13,14;;;
;6,02;8,5;9,98;13,14;;;
;5,99;8,46;9,98;13,14;;;
;5,97;8,42;9,99;13,14;;;
;5,96;8,44;9,99;13,14;;;
;5,92;8,39;9,99;13,15;;;
;5,88;8,33;9,99;13,15;;;
;5,88;8,32;9,99;13,15;;;
;5,81;8,25;9,99;13,15;;;
;5,8;8,26;9,99;13,15;;;
;5,77;8,22;9,99;13,15;;;
;5,74;8,18;9,99;13,15;;;
;5,71;8,09;9,99;13,15;;;
;5,7;8,08;9,99;13,15;;;
;5,7;8,08;9,99;13,15;;;
;5,67;8;9,99;13,15;;;
;5,69;8;9,99;13,15;;;
2,5;5,69;7,99;9,99;13,15;;;
;5,69;7,95;9,99;13,15;;;
;5,65;7,94;9,99;13,15;;;
;5,61;7,86;9,99;13,15;;;
;5,58;7,86;9,99;13,15;;;
;5,53;7,85;9,99;13,15;;;
;5,55;7,86;9,99;13,15;;;
;5,59;7,9;9,99;13,15;;;
;5,57;7,91;9,99;13,15;;;
;5,58;7,93;9,99;13,15;;;
;5,52;7,87;9,99;13,15;;;
;5,56;7,92;9,99;13,15;;;
;5,56;7,92;9,99;13,15;;;
;5,55;7,94;9,99;13,15;;;
;5,58;7,96;9,99;13,15;;;
;5,61;8,04;9,99;13,15;;;
;5,58;8;9,99;13,15;;;
;5,58;7,98;9,99;13,15;;;
3;5,59;8,04;9,99;13,15;;;
;5,55;7,96;9,99;13,15;;;
;5,54;7,91;9,99;13,15;;;
;5,48;7,87;9,99;13,15;;;
;5,42;7,78;9,99;13,15;;;
;5,44;7,82;9,99;13,15;;;
;5,42;7,79;9,99;13,15;;;
;5,42;7,81;9,99;13,15;;;
;5,41;7,79;9,99;13,15;;;
;5,36;7,72;9,99;13,15;;;
;5,35;7,69;9,99;13,15;;;
;5,34;7,7;9,99;13,15;;;
;5,3;7,64;9,99;13,15;;;
;5,27;7,57;9,99;13,15;;;
;5,33;7,58;9,99;13,15;;;
;5,31;7,57;9,99;13,15;;;
;5,27;7,52;9,99;13,15;;;
;5,23;7,46;9,99;13,15;;;
3,5;5,22;7,47;9,99;13,15;;;
;5,2;7,44;9,99;13,15;;;
;5,21;7,43;9,99;13,15;;;
;5,2;7,43;9,99;13,15;;;
;5,23;7,45;9,99;13,15;;;
;5,22;7,44;9,99;13,15;;;
;5,22;7,5;9,99;13,15;;;
;5,21;7,51;9,99;13,15;;;
;5,21;7,53;9,99;13,15;;;
;5,16;7,44;9,99;13,15;;;
;5,09;7,31;9,99;13,15;;;
;5,1;7,37;9,99;13,15;;;
;5,08;7,32;9,99;13,15;;;
;5,02;7,23;9,99;13,15;;;
;4,99;7,18;9,99;13,15;;;
;5,02;7,21;9,99;13,15;;;
;5;7,19;9,99;13,15;;;
;5,01;7,26;9,99;13,15;;;
4;5;7,27;9,99;13,15;;;
;5,02;7,26;9,99;13,15;;;
;5,07;7,34;9,99;13,15;;;
;5,06;7,34;9,99;13,15;;;
;5,05;7,33;9,99;13,15;;;
;5,01;7,27;9,99;13,15;;;
;5;7,25;9,99;13,15;;;
;5,02;7,26;9,99;13,15;;;
;4,96;7,17;9,99;13,15;;;
;4,93;7,14;9,99;13,15;;;
;4,94;7,16;9,99;13,15;;;
;4,94;7,17;9,99;13,15;;;
;4,94;7,14;9,99;13,15;;;
;4,9;7,09;9,99;13,15;;;
;4,93;7,12;9,99;13,15;;;
;4,97;7,15;9,99;13,15;;;
;4,9;7,08;9,99;13,15;;;
;4,87;7,02;9,99;13,15;;;
4,5;4,89;7,09;9,99;13,15;;;
;4,91;7,11;9,99;13,15;;;
;4,86;7,05;9,99;13,15;;;
;4,87;7,05;9,99;13,15;;;
;4,86;7,08;9,99;13,15;;;
;4,88;7,09;9,99;13,15;;;
;4,91;7,11;9,99;13,15;;;
;4,84;7,01;9,99;13,15;;;
;4,87;7,08;9,99;13,15;;;
;4,87;7,11;9,99;13,15;;;
;4,89;7,12;9,99;13,15;;;
;4,84;7,03;9,99;13,15;;;
;4,81;6,99;9,99;13,15;;;
;4,8;6,97;9,99;13,15;;;
;4,81;7;9,99;13,15;;;
;4,83;7,02;9,99;13,15;;;
;4,84;7,02;9,99;13,15;;;
;4,86;7,02;9,99;13,15;;;
5;4,83;7;9,99;13,15;;;
;4,85;7,03;9,99;13,15;;;
;4,8;6,97;9,99;13,15;;;
;4,79;6,94;9,99;13,15;;;
;4,83;6,93;9,99;13,15;;;
;4,85;7,01;9,99;13,15;;;
;4,81;6,98;9,99;13,15;;;
;4,85;7,01;9,99;13,15;;;
;4,82;6,99;9,99;13,15;;;
;4,78;6,95;9,99;13,15;;;
;4,76;6,91;9,99;13,15;;;
;4,76;6,9;9,99;13,15;;;
;4,71;6,85;9,99;13,15;;;
;4,73;6,8;9,99;13,15;;;
;4,73;6,82;9,99;13,15;;;
;4,74;6,89;9,99;13,15;;;
;4,74;6,89;9,99;13,15;;;
;4,72;6,87;9,99;13,15;;;
