Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);;;Parameters:;;;;;;;;;;;
0;0,01;0,11;0;#ИМЯ?;;;Lambda;0.001;;;;;;;;;;
;0,96;1,92;0,95;4,11;;;Initial N;10000;;;N, число процессов;1;2;4;8;16;;5
;1,81;3,14;1,81;4,97;;;Delta t;0.001;;;Ti, секунды;547;275,6;157,3;111;79;;
;2,58;4,16;2,59;5,75;;;T (time steps);25;;;;;;;;;;
;3,27;5,09;3,3;6,46;;;Number of experiments;100000;;;;;;;;;;
;3,91;5,89;3,93;7,09;;;Nu;1;;;N;K;;;;;;
;4,49;6,6;4,51;7,67;;;;;;;1;1;;;;;;
;5;7,25;5,03;8,19;;;;;;;2;1,984760522;;;;;;
;5,48;7,82;5,5;8,66;;;;;;;4;3,477431659;;;;;;
;5,91;8,32;5,93;9,09;;;;;;;8;4,927927928;;;;;;
;6,29;8,79;6,32;9,48;;;;;;;16;6,924050633;;;;;;
;6,65;9,23;6,67;9,83;;;;;;;;;;;;;;
;6,98;9,6;6,98;10,14;;;;;;;;;;;;;;
;7,26;9,92;7,27;10,43;;;;;;;;;;;;;;
;7,51;10,22;7,53;10,69;;;;;;;;;;;;;;
;7,72;10,49;7,76;10,92;;;;;;;;;;;;;;
;7,92;10,74;7,98;11,14;;;;;;;;;;;;;;
;8,12;10,96;8,17;11,33;;;;;;;;;;;;;;
0,5;8,31;11,21;8,34;11,5;;;;;;;;;;;;;;
;8,46;11,39;8,5;11,66;;;;;;;;;;;;;;
;8,59;11,58;8,64;11,8;;;;;;;;;;;;;;
;8,73;11,72;8,77;11,93;;;;;;;;;;;;;;
;8,85;11,87;8,89;12,04;;;;;;;;;;;;;;
;8,96;11,98;8,99;12,15;;;;;;;;;;;;;;
;9,07;12,08;9,09;12,25;;;;;;;;;;;;;;
;9,18;12,19;9,17;12,33;;;;;;;;;;;;;;
;9,28;12,3;9,25;12,41;;;;;;;;;;;;;;
;9,39;12,42;9,32;12,48;;;;;;;;;;;;;;
;9,47;12,51;9,38;12,54;;;;;;;;;;;;;;S
;9,51;12,55;9,44;12,6;;;;;;;;;;;;;;
;9,56;12,63;9,49;12,65;;;;;;;;;;;;;;
;9,6;12,69;9,54;12,7;;;;;;;;;;;;;;
;9,66;12,77;9,58;12,74;;;;;;;;;;;;;;
