Parameters:
Lambda;0.001
Initial N;10000
Delta t;0.001
T (time steps);25
Number of experiments;100000
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);
0,00;0,01;0,11;0,00;-nan;
;0,97;1,94;0,95;4,11;
;1,83;3,17;1,81;4,97;
;2,60;4,20;2,59;5,75;
;3,30;5,10;3,30;6,46;
;3,94;5,91;3,93;7,09;
;4,51;6,62;4,51;7,67;
;5,03;7,26;5,03;8,19;
;5,50;7,83;5,50;8,66;
;5,93;8,34;5,93;9,09;
;6,31;8,81;6,32;9,48;
;6,66;9,23;6,67;9,83;
;6,98;9,60;6,98;10,14;
;7,28;9,96;7,27;10,43;
;7,54;10,27;7,53;10,69;
;7,76;10,56;7,76;10,92;
;7,98;10,81;7,98;11,14;
;8,18;11,03;8,17;11,33;
0,50;8,35;11,24;8,34;11,50;
;8,51;11,43;8,50;11,66;
;8,64;11,59;8,64;11,80;
;8,77;11,74;8,77;11,93;
;8,89;11,89;8,89;12,04;
;9,00;12,01;8,99;12,15;
;9,09;12,11;9,09;12,25;
;9,19;12,20;9,17;12,33;
;9,27;12,29;9,25;12,41;
;9,35;12,39;9,32;12,48;
;9,42;12,46;9,38;12,54;
;9,46;12,52;9,44;12,60;
;9,52;12,60;9,49;12,65;
;9,56;12,65;9,54;12,70;
;9,61;12,71;9,58;12,74;
;9,65;12,76;9,62;12,78;
;9,68;12,78;9,66;12,82;
;9,72;12,81;9,69;12,85;
1,00;9,74;12,85;9,72;12,88;
;9,76;12,88;9,74;12,90;
;9,79;12,92;9,77;12,93;
;9,81;12,92;9,79;12,95;
;9,82;12,94;9,81;12,97;
;9,83;12,95;9,83;12,98;
;9,83;12,95;9,84;13,00;
;9,85;12,97;9,86;13,01;
;9,87;13,00;9,87;13,03;
;9,89;13,02;9,88;13,04;
;9,90;13,05;9,89;13,05;
;9,91;13,05;9,90;13,06;
;9,89;13,02;9,91;13,07;
;9,90;13,03;9,92;13,08;
;9,90;13,03;9,92;13,08;
;9,90;13,03;9,93;13,09;
;9,90;13,03;9,94;13,09;
;9,90;13,03;9,94;13,10;
1,50;9,90;13,03;9,95;13,10;
;9,90;13,04;9,95;13,11;
;9,89;13,04;9,95;13,11;
;9,90;13,04;9,96;13,12;
;9,91;13,05;9,96;13,12;
;9,92;13,05;9,96;13,12;
;9,92;13,05;9,97;13,12;
;9,94;13,06;9,97;13,13;
;9,94;13,06;9,97;13,13;
;9,95;13,07;9,97;13,13;
;9,95;13,07;9,97;13,13;
;9,97;13,09;9,98;13,13;
;9,96;13,08;9,98;13,14;
;9,96;13,09;9,98;13,14;
;9,98;13,11;9,98;13,14;
;9,98;13,12;9,98;13,14;
;9,98;13,12;9,98;13,14;
;9,95;13,10;9,98;13,14;
2,00;9,94;13,08;9,98;13,14;
;9,94;13,09;9,98;13,14;
;9,96;13,12;9,98;13,14;
;9,97;13,14;9,98;13,14;
;9,97;13,13;9,99;13,14;
;9,98;13,16;9,99;13,14;
;9,98;13,17;9,99;13,15;
;9,99;13,17;9,99;13,15;
;10,00;13,17;9,99;13,15;
;10,01;13,18;9,99;13,15;
;10,01;13,17;9,99;13,15;
;10,00;13,16;9,99;13,15;
;10,00;13,15;9,99;13,15;
;10,00;13,15;9,99;13,15;
;9,99;13,14;9,99;13,15;
;9,98;13,14;9,99;13,15;
;9,98;13,15;9,99;13,15;
;9,99;13,15;9,99;13,15;
2,50;10,00;13,17;9,99;13,15;
;9,98;13,14;9,99;13,15;
;9,98;13,13;9,99;13,15;
;9,97;13,14;9,99;13,15;
;9,96;13,14;9,99;13,15;
;9,97;13,14;9,99;13,15;
;9,98;13,16;9,99;13,15;
;9,98;13,16;9,99;13,15;
;9,98;13,15;9,99;13,15;
;9,98;13,14;9,99;13,15;
;9,97;13,14;9,99;13,15;
;9,98;13,14;9,99;13,15;
;9,99;13,12;9,99;13,15;
;9,97;13,11;9,99;13,15;
;9,96;13,11;9,99;13,15;
;9,96;13,12;9,99;13,15;
;9,95;13,11;9,99;13,15;
;9,96;13,12;9,99;13,15;
3,00;9,97;13,12;9,99;13,15;
;9,97;13,13;9,99;13,15;
;9,97;13,14;9,99;13,15;
;9,98;13,16;9,99;13,15;
;9,99;13,18;9,99;13,15;
;10,00;13,18;9,99;13,15;
;9,99;13,17;9,99;13,15;
;9,99;13,16;9,99;13,15;
;9,98;13,13;9,99;13,15;
;10,00;13,15;9,99;13,15;
;10,00;13,15;9,99;13,15;
;10,01;13,17;9,99;13,15;
;10,00;13,16;9,99;13,15;
;9,99;13,16;9,99;13,15;
;9,99;13,15;9,99;13,15;
;9,98;13,15;9,99;13,15;
;9,99;13,17;9,99;13,15;
;9,99;13,16;9,99;13,15;
3,50;9,99;13,16;9,99;13,15;
;9,99;13,14;9,99;13,15;
;9,99;13,15;9,99;13,15;
;9,99;13,16;9,99;13,15;
;10,01;13,19;9,99;13,15;
;10,02;13,19;9,99;13,15;
;10,02;13,19;9,99;13,15;
;10,02;13,17;9,99;13,15;
;10,02;13,19;9,99;13,15;
;10,03;13,19;9,99;13,15;
;10,00;13,17;9,99;13,15;
;10,00;13,18;9,99;13,15;
;9,98;13,16;9,99;13,15;
;9,98;13,14;9,99;13,15;
;9,97;13,13;9,99;13,15;
;9,97;13,12;9,99;13,15;
;9,97;13,13;9,99;13,15;
;9,97;13,12;9,99;13,15;
4,00;9,96;13,12;9,99;13,15;
;9,97;13,13;9,99;13,15;
;9,99;13,15;9,99;13,15;
;10,00;13,17;9,99;13,15;
;9,98;13,16;9,99;13,15;
;9,98;13,14;9,99;13,15;
;9,98;13,14;9,99;13,15;
;9,98;13,14;9,99;13,15;
;9,96;13,12;9,99;13,15;
;9,97;13,10;9,99;13,15;
;9,96;13,12;9,99;13,15;
;9,96;13,11;9,99;13,15;
;9,95;13,10;9,99;13,15;
;9,93;13,08;9,99;13,15;
;9,92;13,07;9,99;13,15;
;9,92;13,05;9,99;13,15;
