Parameters:
Lambda_f;0.001
Beta_f;0.78
Initial N;10000
Delta t;0.001
T (time steps);25.2
Number of experiments;1000
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);
0,00;0,00;0,00;
;54,49;59,02;
;134,34;140,07;
;214,76;221,50;
;291,13;298,79;
;362,52;371,04;
;429,67;438,91;
;492,88;502,60;
;551,94;562,18;
;607,70;618,80;
;660,60;672,22;
;710,97;723,30;
;758,87;771,57;
;804,58;817,73;
;848,41;861,90;
;889,97;903,88;
;930,07;944,19;
;968,74;983,05;
0,50;1005,84;1020,35;
;1041,80;1056,24;
;1076,66;1091,41;
;1110,00;1124,91;
;1142,14;1157,23;
;1173,47;1188,55;
;1204,01;1219,42;
;1233,55;1249,26;
;1262,32;1278,24;
;1290,38;1306,32;
;1317,66;1333,79;
;1344,05;1360,19;
;1369,94;1386,42;
;1394,91;1411,86;
;1419,48;1436,36;
;1443,60;1460,53;
;1466,94;1483,97;
;1489,67;1506,93;
1,00;1512,08;1529,51;
;1533,74;1551,52;
;1555,00;1572,88;
;1575,94;1593,92;
;1596,14;1614,50;
;1616,24;1634,57;
;1635,97;1654,42;
;1655,22;1673,57;
;1674,17;1692,46;
;1692,89;1711,12;
;1711,15;1729,39;
;1729,18;1747,30;
;1746,64;1764,71;
;1763,90;1782,03;
;1780,91;1798,92;
;1797,82;1815,82;
;1814,31;1832,40;
;1830,44;1848,64;
1,50;1846,20;1864,59;
;1861,75;1880,15;
;1877,42;1896,07;
;1892,54;1911,33;
;1907,48;1926,08;
;1922,16;1940,91;
;1936,78;1955,61;
;1951,28;1970,07;
;1965,30;1984,21;
;1979,29;1998,27;
;1992,92;2011,90;
;2006,38;2025,32;
;2019,75;2038,90;
;2033,05;2052,22;
;2046,14;2065,34;
;2059,07;2078,17;
;2071,61;2090,84;
;2084,21;2103,59;
2,00;2096,73;2116,02;
;2108,82;2128,07;
;2120,93;2140,21;
;2132,97;2152,27;
;2144,84;2164,31;
;2156,41;2175,88;
;2168,14;2187,55;
;2179,56;2198,91;
;2190,78;2210,21;
;2201,82;2221,39;
;2212,82;2232,39;
;2223,85;2243,36;
;2234,51;2254,17;
;2245,11;2264,88;
;2255,69;2275,56;
;2266,31;2286,52;
;2276,80;2297,06;
;2286,80;2307,14;
2,50;2296,94;2317,35;
;2306,99;2327,53;
;2316,97;2337,57;
;2326,76;2347,20;
;2336,51;2357,02;
;2346,16;2366,64;
;2355,82;2376,33;
;2365,43;2385,92;
;2374,78;2395,33;
;2384,02;2404,56;
;2393,08;2413,40;
;2402,23;2422,48;
;2411,42;2431,71;
;2420,36;2440,52;
;2429,23;2449,42;
;2437,96;2458,23;
;2446,60;2467,14;
;2455,17;2475,65;
3,00;2463,78;2484,33;
;2472,18;2492,75;
;2480,50;2500,90;
;2488,82;2509,15;
;2497,00;2517,21;
;2505,21;2525,44;
;2513,42;2533,66;
;2521,53;2541,83;
;2529,63;2549,97;
;2537,57;2557,97;
;2545,41;2565,89;
;2553,22;2573,84;
;2560,97;2581,62;
;2568,73;2589,37;
;2576,44;2597,15;
;2584,09;2604,73;
;2591,68;2612,22;
;2599,08;2619,62;
3,50;2606,47;2627,08;
;2613,90;2634,49;
;2621,22;2641,87;
;2628,41;2649,01;
;2635,60;2656,25;
;2642,60;2663,33;
;2649,71;2670,51;
;2656,79;2677,55;
;2663,91;2684,71;
;2670,76;2691,56;
;2677,56;2698,42;
;2684,39;2705,27;
;2691,06;2711,96;
;2697,78;2718,73;
;2704,37;2725,43;
;2711,14;2732,14;
;2717,77;2738,81;
;2724,49;2745,63;
4,00;2730,99;2752,29;
;2737,36;2758,65;
;2743,96;2765,28;
;2750,49;2771,84;
;2756,85;2778,08;
;2763,20;2784,42;
;2769,48;2790,57;
;2775,64;2796,92;
;2781,90;2803,20;
;2788,09;2809,28;
;2794,24;2815,44;
;2800,38;2821,51;
;2806,43;2827,53;
;2812,30;2833,33;
;2818,25;2839,31;
;2824,28;2845,35;
;2830,26;2851,20;
;2836,25;2857,20;
4,50;2842,07;2863,11;
;2847,75;2868,81;
;2853,53;2874,47;
;2859,26;2880,18;
;2864,93;2885,80;
;2870,67;2891,60;
;2876,38;2897,37;
;2882,08;2903,00;
;2887,68;2908,57;
;2893,17;2914,07;
;2898,67;2919,47;
;2904,19;2925,02;
;2909,63;2930,54;
;2915,02;2935,99;
;2920,29;2941,27;
;2925,68;2946,75;
;2930,96;2952,00;
;2936,26;2957,27;
5,00;2941,48;2962,53;
;2946,89;2967,92;
;2952,18;2973,14;
;2957,40;2978,39;
;2962,43;2983,38;
;2967,55;2988,60;
;2972,53;2993,53;
;2977,66;2998,67;
;2982,78;3003,84;
;2987,85;3008,87;
;2992,90;3013,87;
;2997,94;3018,88;
;3002,78;3023,85;
;3007,66;3028,68;
;3012,58;3033,62;
;3017,51;3038,48;
;3022,31;3043,32;
;3027,11;3048,09;
5,50;3031,94;3052,94;
;3036,77;3057,69;
;3041,64;3062,68;
;3046,39;3067,43;
;3051,09;3072,12;
;3055,70;3076,75;
;3060,46;3081,51;
;3065,18;3086,09;
;3069,90;3090,88;
;3074,53;3095,46;
;3079,31;3100,29;
;3083,93;3104,91;
;3088,50;3109,49;
;3092,99;3114,01;
;3097,63;3118,71;
;3102,11;3123,21;
;3106,54;3127,57;
;3110,91;3131,89;
6,00;3115,25;3136,19;
;3119,60;3140,53;
;3124,05;3145,06;
;3128,41;3149,51;
;3132,73;3153,96;
;3137,00;3158,25;
;3141,40;3162,57;
;3145,74;3166,91;
;3149,96;3171,15;
;3154,18;3175,39;
;3158,38;3179,57;
;3162,58;3183,78;
;3166,77;3187,97;
;3170,93;3192,21;
;3175,09;3196,36;
;3179,31;3200,48;
;3183,54;3204,66;
;3187,75;3208,82;
6,50;3191,81;3212,78;
;3195,90;3216,89;
;3199,94;3220,94;
;3204,11;3225,03;
;3208,14;3229,08;
;3212,24;3233,25;
;3216,36;3237,36;
;3220,38;3241,32;
;3224,33;3245,31;
;3228,19;3249,09;
;3232,05;3252,97;
;3236,02;3257,00;
;3239,92;3260,91;
;3243,86;3264,79;
;3247,73;3268,62;
;3251,61;3272,50;
;3255,51;3276,47;
;3259,31;3280,32;
