Parameters:
mu_f;9.03
sigma_f;0.55
mu_r;4.16
sigma_r;0.7
Initial N;10000
Delta t;0.1
T (seconds);25200
Number of experiments;100

Time;FailureMean;FailureMean+Sqrt(Var);
0,00;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,01;0,11;
;0,01;0,11;
;0,01;0,11;
;0,01;0,11;
;0,01;0,11;
;0,01;0,11;
;0,02;0,16;
;0,02;0,16;
;0,02;0,16;
;0,02;0,16;
;0,04;0,24;
;0,04;0,24;
;0,04;0,24;
;0,04;0,24;
;0,03;0,20;
;0,04;0,24;
;0,05;0,27;
;0,06;0,30;
;0,03;0,20;
;0,04;0,24;
;0,02;0,16;
;0,03;0,20;
;0,02;0,16;
;0,06;0,30;
;0,08;0,35;
;0,10;0,40;
;0,13;0,47;
;0,12;0,44;
;0,12;0,44;
;0,15;0,53;
;0,15;0,53;
;0,16;0,53;
;0,16;0,53;
;0,15;0,51;
;0,18;0,56;
;0,20;0,60;
;0,22;0,68;
;0,24;0,71;
;0,26;0,76;
;0,25;0,71;
;0,26;0,72;
;0,29;0,82;
;0,33;0,90;
;0,31;0,83;
;0,33;0,88;
;0,28;0,79;
;0,25;0,75;
;0,21;0,64;
;0,27;0,76;
;0,37;0,93;
;0,39;1,02;
;0,42;1,10;
;0,46;1,10;
;0,54;1,21;
;0,53;1,20;
;0,57;1,29;
;0,57;1,28;
;0,60;1,32;
;0,64;1,34;
;0,68;1,39;
;0,73;1,53;
;0,72;1,51;
;0,80;1,62;
;0,85;1,64;
;0,88;1,78;
;0,95;1,88;
;0,99;1,92;
;1,07;2,04;
;1,12;2,06;
;1,13;2,01;
;1,14;2,16;
;1,17;2,23;
;1,19;2,23;
;1,21;2,24;
;1,29;2,39;
;1,35;2,54;
;1,47;2,76;
;1,59;2,93;
;1,64;3,04;
;1,85;3,32;
;1,92;3,43;
;1,90;3,36;
;1,93;3,30;
;1,99;3,48;
;2,17;3,77;
;2,29;3,89;
;2,26;3,71;
;2,30;3,71;
;2,38;3,81;
;2,42;3,91;
;2,56;4,06;
;2,57;4,12;
;2,54;4,07;
;2,56;4,25;
;2,62;4,27;
;2,72;4,37;
;3,03;4,80;
;3,09;4,67;
;3,14;4,77;
;3,29;4,84;
;3,28;5,06;
;3,41;5,18;
;3,50;5,26;
;3,56;5,26;
;3,47;5,08;
;3,50;5,18;
;3,59;5,40;
;3,67;5,63;
;3,93;6,08;
;4,19;6,33;
;4,31;6,40;
;4,42;6,51;
;4,46;6,75;
;4,52;6,98;
;4,65;7,06;
;4,99;7,45;
;5,38;7,75;
;5,65;8,02;
;5,74;8,03;
;5,78;8,03;
;5,91;8,05;
0,50;6,04;8,40;
;6,03;8,47;
;6,20;8,65;
;6,47;8,94;
;6,54;8,82;
;6,68;9,03;
;6,90;9,40;
;6,95;9,41;
;7,07;9,46;
;7,27;9,72;
;7,31;9,88;
;7,41;10,10;
;7,28;9,97;
;7,59;10,25;
;7,82;10,58;
;8,13;10,97;
;8,48;11,30;
;8,85;11,59;
;9,03;11,69;
;9,12;11,83;
;9,16;11,85;
;9,26;12,06;
;9,44;12,26;
;9,49;12,48;
;9,64;12,65;
;9,81;12,82;
;10,01;13,00;
;10,28;13,39;
;10,50;14,04;
;10,68;14,10;
;11,22;14,85;
;11,31;14,79;
;11,46;14,59;
;11,78;15,10;
;11,94;15,18;
;12,06;15,35;
;12,04;15,48;
;12,46;15,88;
;12,47;15,94;
;12,58;16,23;
;12,74;16,52;
;13,05;16,88;
;13,10;16,92;
;13,71;17,55;
;13,83;17,80;
;14,23;18,15;
;14,43;18,20;
;14,37;17,59;
;14,53;17,49;
;14,83;18,12;
;14,83;18,46;
;15,20;18,90;
;15,52;19,60;
;15,14;19,07;
;15,42;19,71;
;15,73;20,02;
;15,98;19,99;
;15,85;19,85;
;16,38;20,31;
;16,66;20,70;
;17,04;21,51;
;17,43;21,93;
;17,82;22,33;
;18,16;22,94;
;18,06;22,65;
;18,27;22,31;
;18,59;22,76;
;18,55;22,91;
;18,87;23,16;
;19,45;23,78;
;19,83;24,41;
;19,87;24,66;
;20,27;24,95;
;20,39;24,97;
;20,34;24,73;
;20,51;24,42;
;21,25;25,28;
;21,44;25,34;
;21,41;25,51;
;21,52;26,01;
;21,50;25,84;
;21,72;25,94;
;22,08;26,24;
;22,70;27,43;
;23,03;27,71;
;23,22;28,20;
;23,45;28,17;
;23,72;28,19;
;24,29;28,83;
;24,75;29,16;
;24,95;29,70;
;24,98;29,56;
;25,24;29,61;
;25,45;30,13;
;25,30;29,99;
;25,30;30,15;
;25,33;30,14;
;26,06;30,86;
;26,58;31,65;
;26,78;32,07;
;27,31;32,76;
;27,44;32,87;
;28,12;33,47;
;28,45;34,06;
;28,49;34,37;
;29,17;34,92;
;29,66;34,91;
;29,93;35,58;
;30,09;35,40;
;30,22;35,14;
;31,11;36,38;
;30,83;35,90;
;31,10;36,14;
;31,12;35,94;
;31,17;35,72;
;31,48;36,36;
;31,91;36,77;
;32,40;37,13;
;32,76;37,77;
;32,92;37,87;
;33,10;38,15;
;33,58;38,87;
;33,63;39,21;
;34,06;39,73;
;34,00;39,91;
;34,89;40,35;
;35,19;40,73;
;35,48;41,17;
