Parameters:
Lambda_f;1
Beta_f;5
Initial N;10000
Delta t;0.001
T (time steps);150
Number of experiments;100
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);
0,00;0,00;0,00;
;0,14;0,51;
;3,35;5,12;
;20,25;24,46;
;68,61;75,10;
;144,19;151,81;
;226,19;234,26;
;303,25;311,92;
;374,84;383,50;
;441,66;450,68;
;504,25;513,49;
;562,46;572,18;
;618,85;629,16;
;672,07;682,86;
;721,57;732,88;
;768,61;780,00;
;814,33;827,61;
;857,52;870,43;
0,50;899,11;912,25;
;939,89;953,80;
;978,59;993,64;
;1014,91;1030,40;
;1050,19;1065,72;
;1085,15;1100,59;
;1118,42;1133,51;
;1150,67;1166,04;
;1182,20;1198,49;
;1213,02;1229,16;
;1241,82;1258,27;
;1270,89;1287,57;
;1298,54;1315,43;
;1326,00;1342,81;
;1352,91;1369,21;
;1378,66;1394,34;
;1403,86;1419,87;
;1428,19;1444,26;
1,00;1451,68;1467,33;
;1474,30;1489,84;
;1497,05;1513,44;
;1519,05;1535,68;
;1540,68;1558,34;
;1561,35;1579,05;
;1582,12;1600,57;
;1602,86;1620,39;
;1622,84;1640,56;
;1642,45;1660,13;
;1661,84;1679,82;
;1681,24;1699,25;
;1700,08;1717,59;
;1717,49;1735,05;
;1734,97;1752,26;
;1751,90;1768,91;
;1768,69;1785,70;
;1785,58;1802,35;
1,50;1802,00;1818,69;
;1818,73;1836,15;
;1835,03;1852,56;
;1851,29;1868,27;
;1867,27;1884,95;
;1882,03;1899,71;
;1896,81;1914,83;
;1912,07;1929,90;
;1926,67;1944,75;
;1941,15;1959,56;
;1955,76;1974,20;
;1969,58;1987,36;
;1983,20;2000,67;
;1997,32;2014,86;
;2010,93;2028,79;
;2024,26;2042,09;
;2037,20;2055,40;
;2050,60;2068,97;
2,00;2062,64;2081,20;
;2075,18;2093,65;
;2088,08;2107,03;
;2100,38;2119,24;
;2112,84;2131,56;
;2124,77;2143,84;
;2136,65;2156,09;
;2148,72;2168,37;
;2160,43;2179,93;
;2171,39;2191,55;
;2182,80;2203,28;
;2193,72;2214,30;
;2204,69;2225,54;
;2215,26;2236,20;
;2226,32;2247,28;
;2237,03;2257,83;
;2247,15;2268,03;
;2258,00;2279,21;
2,50;2268,34;2289,59;
;2278,55;2299,74;
;2288,21;2309,80;
;2298,10;2319,75;
;2308,21;2329,72;
;2317,78;2339,01;
;2327,60;2348,67;
;2337,48;2358,47;
;2346,97;2368,13;
;2356,74;2377,95;
;2366,53;2387,80;
;2375,71;2397,09;
;2384,71;2406,10;
;2394,08;2415,52;
