Parameters:
Lambda_f;1e-07
Beta_f;0.78
Initial N;10000
Delta t;0.001
T (time steps);25.2
Number of experiments;1000
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);
0,00;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,00;
;0,00;0,05;
;0,00;0,05;
;0,00;0,05;
;0,00;0,05;
;0,00;0,05;
;0,00;0,07;
;0,00;0,08;
;0,01;0,08;
;0,01;0,08;
;0,01;0,09;
;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
0,50;0,00;0,07;
;0,00;0,06;
;0,00;0,05;
;0,00;0,03;
;0,00;0,05;
;0,00;0,05;
;0,00;0,05;
;0,00;0,05;
;0,00;0,05;
;0,00;0,06;
;0,00;0,06;
;0,00;0,06;
;0,00;0,08;
;0,00;0,08;
;0,00;0,08;
;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
1,00;0,00;0,07;
;0,00;0,07;
;0,00;0,06;
;0,00;0,08;
;0,00;0,08;
;0,00;0,07;
;0,01;0,08;
;0,01;0,08;
;0,01;0,08;
;0,01;0,09;
;0,01;0,08;
;0,00;0,08;
;0,00;0,08;
;0,00;0,07;
;0,00;0,06;
;0,00;0,06;
;0,00;0,07;
;0,00;0,07;
1,50;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
;0,00;0,06;
;0,00;0,07;
;0,00;0,07;
;0,00;0,06;
;0,00;0,06;
;0,00;0,06;
;0,00;0,06;
;0,00;0,06;
;0,00;0,05;
;0,00;0,00;
;0,00;0,05;
2,00;0,00;0,05;
;0,00;0,00;
;0,00;0,00;
;0,00;0,05;
;0,00;0,05;
;0,00;0,05;
;0,00;0,05;
;0,00;0,03;
;0,00;0,03;
;0,00;0,05;
;0,00;0,06;
;0,00;0,06;
;0,00;0,06;
;0,00;0,05;
;0,00;0,05;
;0,00;0,06;
;0,00;0,06;
;0,00;0,06;
2,50;0,00;0,07;
;0,00;0,07;
;0,00;0,06;
;0,00;0,06;
;0,00;0,06;
;0,00;0,07;
;0,00;0,08;
;0,01;0,08;
;0,01;0,09;
;0,00;0,08;
;0,00;0,08;
;0,00;0,08;
;0,00;0,08;
;0,00;0,08;
;0,00;0,07;
;0,01;0,08;
;0,00;0,08;
;0,00;0,07;
3,00;0,01;0,08;
;0,01;0,08;
;0,01;0,08;
;0,01;0,09;
;0,01;0,08;
;0,01;0,08;
;0,00;0,08;
;0,00;0,06;
;0,00;0,06;
;0,00;0,06;
;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
;0,00;0,08;
;0,00;0,07;
;0,00;0,08;
;0,00;0,08;
3,50;0,00;0,08;
;0,00;0,08;
;0,01;0,08;
;0,01;0,09;
;0,01;0,08;
;0,00;0,08;
;0,00;0,06;
;0,00;0,06;
;0,00;0,06;
;0,00;0,05;
;0,00;0,05;
;0,00;0,06;
;0,00;0,06;
;0,00;0,06;
;0,00;0,06;
;0,00;0,07;
;0,00;0,06;
;0,00;0,06;
4,00;0,00;0,06;
;0,00;0,06;
;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
;0,00;0,08;
;0,00;0,07;
;0,00;0,06;
;0,00;0,06;
;0,00;0,07;
;0,00;0,06;
;0,00;0,05;
;0,00;0,06;
;0,00;0,07;
;0,00;0,06;
;0,00;0,07;
;0,00;0,06;
;0,00;0,06;
4,50;0,00;0,06;
;0,00;0,06;
;0,00;0,07;
;0,00;0,07;
;0,00;0,05;
;0,00;0,05;
;0,00;0,05;
;0,00;0,05;
;0,00;0,05;
;0,00;0,05;
;0,00;0,03;
;0,00;0,03;
;0,00;0,03;
;0,00;0,05;
;0,00;0,07;
;0,00;0,06;
;0,00;0,06;
;0,00;0,06;
5,00;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
;0,00;0,08;
;0,01;0,08;
;0,01;0,09;
;0,01;0,10;
;0,01;0,10;
;0,01;0,10;
;0,01;0,10;
;0,01;0,08;
;0,00;0,08;
;0,00;0,08;
;0,00;0,07;
;0,01;0,08;
;0,01;0,10;
;0,01;0,09;
;0,01;0,09;
5,50;0,01;0,10;
;0,01;0,10;
;0,01;0,10;
;0,01;0,10;
;0,01;0,08;
;0,01;0,10;
;0,01;0,10;
;0,01;0,10;
;0,01;0,08;
;0,01;0,09;
;0,01;0,09;
;0,00;0,08;
;0,00;0,08;
;0,00;0,08;
;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
6,00;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
;0,00;0,06;
;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
;0,00;0,08;
;0,00;0,08;
;0,00;0,08;
;0,00;0,08;
;0,00;0,08;
;0,00;0,07;
;0,00;0,06;
;0,00;0,06;
;0,00;0,06;
;0,00;0,06;
;0,00;0,07;
6,50;0,00;0,08;
;0,00;0,08;
;0,00;0,06;
;0,00;0,07;
;0,00;0,08;
;0,00;0,07;
;0,00;0,06;
;0,00;0,05;
;0,00;0,05;
;0,00;0,06;
;0,00;0,06;
;0,00;0,05;
;0,00;0,06;
;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
;0,00;0,07;
;0,01;0,09;
