Parameters:
Lambda_f;0.0029
Beta_f;0.78
Initial N;10000
Delta t;0.001
T (time steps);25.2
Number of experiments;100
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);
0,00;0,13;0,47;
;4,50;6,73;
;7,16;9,88;
;9,60;12,32;
;11,53;14,49;
;13,07;16,32;
;14,32;18,05;
;15,52;19,54;
;16,52;20,40;
;16,93;20,85;
;17,74;21,87;
;17,86;22,09;
;18,28;22,85;
;18,71;23,26;
;18,91;23,51;
;19,25;23,48;
;19,53;23,77;
;19,73;23,63;
0,50;19,97;23,97;
;19,80;23,75;
;19,55;23,63;
;19,55;24,02;
;19,46;23,62;
;19,33;23,33;
;19,49;23,78;
;19,20;23,14;
;19,12;23,02;
;19,03;22,63;
;18,83;22,68;
;18,77;22,51;
;18,77;22,58;
;18,74;22,69;
;18,97;23,03;
;18,97;22,90;
;18,88;22,90;
;18,99;23,15;
1,00;18,95;23,01;
;18,46;22,31;
;18,40;22,12;
;18,01;21,58;
;17,60;21,21;
;17,45;21,13;
;17,47;21,18;
;17,23;21,00;
;17,19;20,82;
;17,07;21,07;
;17,43;21,70;
;17,39;21,73;
;17,17;21,38;
;16,73;20,90;
;16,59;20,75;
;16,66;20,80;
;16,57;20,72;
;16,28;20,36;
1,50;16,16;20,40;
;16,06;19,95;
;16,03;20,28;
;15,60;19,78;
;15,64;20,16;
;15,56;20,02;
;15,53;19,60;
;15,63;19,96;
;15,79;19,83;
;15,82;19,65;
;15,61;19,61;
;15,82;19,73;
;15,33;19,09;
;15,46;19,14;
;15,48;19,06;
;15,44;19,08;
;15,28;19,23;
;15,27;19,44;
2,00;15,28;19,35;
;15,19;19,30;
;15,08;19,09;
;14,87;18,94;
;14,88;19,22;
;14,73;18,81;
;14,75;18,82;
;14,67;18,54;
;14,47;18,30;
;14,48;18,52;
;14,18;18,08;
;14,10;18,03;
;14,23;17,97;
;14,24;17,68;
;13,99;17,59;
;14,00;17,66;
;13,96;17,77;
;13,80;17,65;
2,50;13,68;17,58;
;13,67;17,35;
;13,33;16,71;
;13,42;16,95;
;13,55;17,32;
;13,70;17,48;
;13,76;17,60;
;13,98;17,86;
;14,09;18,14;
;13,90;17,80;
;13,78;17,53;
;13,54;17,37;
;13,72;17,57;
;13,81;17,53;
;13,85;17,33;
;13,86;17,69;
;13,89;17,82;
;13,84;17,91;
3,00;13,76;17,64;
;13,69;17,47;
;13,70;17,39;
;13,50;17,11;
;13,39;16,95;
;13,19;16,65;
;13,15;16,59;
;12,89;16,35;
;12,96;16,72;
;13,38;17,28;
;13,41;17,25;
;13,41;17,20;
;13,51;17,01;
;13,28;16,78;
;13,35;16,89;
;13,56;17,24;
;13,40;16,99;
;13,24;16,59;
3,50;13,25;16,83;
;13,19;16,57;
;13,22;16,71;
;13,36;16,82;
;13,22;16,65;
;13,26;16,81;
;13,33;16,84;
;13,31;16,86;
;13,43;16,98;
;13,36;17,05;
;13,11;16,82;
;12,89;16,18;
;12,99;16,17;
;13,14;16,53;
;12,97;16,20;
;13,01;16,32;
;13,23;16,82;
;13,15;16,65;
4,00;13,33;16,90;
;13,31;16,98;
;13,29;17,07;
;12,92;16,67;
;12,82;16,59;
;12,91;16,52;
;12,86;16,41;
;12,70;16,25;
;12,91;16,35;
;12,91;16,62;
;12,70;16,48;
;12,72;16,52;
;12,75;16,43;
;12,65;16,14;
;12,89;16,66;
;12,87;16,69;
;12,69;16,16;
;12,51;16,03;
4,50;12,13;15,55;
;12,02;15,55;
;12,31;15,83;
;12,34;15,99;
;12,26;16,00;
;11,97;15,74;
;11,99;15,83;
;12,10;15,98;
;12,20;15,99;
;12,12;15,52;
;12,22;15,61;
;12,00;15,63;
;11,91;15,54;
;12,02;15,60;
;11,99;15,66;
;11,89;15,63;
;11,87;15,32;
;11,92;15,45;
5,00;11,80;15,27;
;11,74;15,28;
;11,82;15,30;
;11,73;15,16;
;11,76;15,04;
;11,89;15,23;
;11,88;15,20;
;11,90;15,33;
;11,98;15,31;
;12,04;15,21;
;11,96;14,94;
;12,00;15,18;
;11,85;15,05;
;11,89;15,08;
;11,78;15,01;
;12,04;15,21;
;12,11;15,49;
;11,93;15,44;
5,50;11,89;15,51;
;11,91;15,57;
;11,88;15,45;
;11,84;15,64;
;11,96;15,81;
;11,94;15,82;
;11,74;15,65;
;11,48;15,26;
;11,16;14,94;
;10,91;14,73;
;10,97;14,51;
;10,62;14,13;
;10,85;14,32;
;10,95;14,51;
;11,01;14,60;
;10,97;14,52;
;11,25;14,59;
;11,32;14,52;
6,00;11,20;14,51;
;11,10;14,32;
;10,95;14,01;
;11,05;14,24;
;11,26;14,46;
;11,41;14,88;
;11,48;15,15;
;11,48;15,12;
;11,59;15,21;
;11,53;15,32;
;11,43;15,08;
;11,40;14,69;
;11,06;14,30;
;10,95;14,30;
;11,06;14,04;
;10,86;13,74;
;10,96;13,95;
;11,07;14,37;
6,50;11,16;14,67;
;11,03;14,38;
;10,86;14,03;
;10,76;13,99;
;10,76;13,93;
;11,06;14,20;
;11,16;14,36;
;11,19;14,27;
;11,01;14,07;
;11,04;14,06;
;11,09;14,08;
;10,96;14,31;
;11,21;14,53;
;11,09;14,54;
;10,75;14,17;
;11,02;14,49;
;10,97;14,56;
;11,29;14,82;
