Parameters:
Lambda_f;1e-07
Beta_f;1
Initial N;10000
Delta t;0.001
T (time steps);25.2
Number of experiments;1000
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);
0,00;0,00;0,00;
;0,01;0,08;
;0,02;0,18;
;0,05;0,27;
;0,08;0,37;
;0,12;0,45;
;0,16;0,55;
;0,20;0,64;
;0,27;0,81;
;0,33;0,92;
;0,39;1,02;
;0,44;1,11;
;0,50;1,21;
;0,55;1,31;
;0,67;1,50;
;0,74;1,63;
;0,81;1,75;
;0,92;1,89;
0,50;1,00;2,03;
;1,05;2,07;
;1,16;2,23;
;1,24;2,37;
;1,33;2,50;
;1,40;2,58;
;1,48;2,72;
;1,57;2,86;
;1,68;3,02;
;1,79;3,18;
;1,90;3,28;
;1,96;3,37;
;2,06;3,49;
;2,17;3,68;
;2,33;3,91;
;2,42;4,00;
;2,52;4,13;
;2,57;4,18;
1,00;2,69;4,31;
;2,78;4,42;
;2,90;4,59;
;2,98;4,70;
;3,03;4,76;
;3,10;4,86;
;3,19;4,98;
;3,29;5,06;
;3,40;5,22;
;3,45;5,32;
;3,56;5,38;
;3,66;5,51;
;3,76;5,69;
;3,87;5,79;
;3,94;5,91;
;4,07;6,09;
;4,23;6,27;
;4,28;6,33;
1,50;4,38;6,47;
;4,50;6,60;
;4,54;6,63;
;4,62;6,72;
;4,76;6,91;
;4,83;6,94;
;4,90;7,04;
;5,02;7,18;
;5,11;7,31;
;5,20;7,44;
;5,31;7,59;
;5,47;7,76;
;5,58;7,90;
;5,68;8,07;
;5,81;8,24;
;5,84;8,25;
;5,90;8,35;
;5,97;8,45;
2,00;6,05;8,53;
;6,18;8,70;
;6,29;8,81;
;6,37;8,86;
;6,53;9,03;
;6,63;9,16;
;6,73;9,26;
;6,85;9,41;
;6,98;9,59;
;7,17;9,79;
;7,26;9,88;
;7,42;10,05;
;7,50;10,13;
;7,61;10,27;
;7,73;10,46;
;7,84;10,61;
;7,91;10,63;
;7,99;10,72;
2,50;8,06;10,81;
;8,11;10,81;
;8,14;10,81;
;8,17;10,96;
;8,32;11,12;
;8,36;11,23;
;8,48;11,48;
;8,58;11,57;
;8,70;11,66;
;8,87;11,87;
;8,92;11,89;
;8,99;11,99;
;9,14;12,15;
;9,33;12,34;
;9,52;12,54;
;9,62;12,73;
;9,76;12,88;
;9,89;13,08;
3,00;9,92;13,08;
;10,06;13,27;
;10,15;13,45;
;10,16;13,46;
;10,28;13,61;
;10,34;13,59;
;10,46;13,72;
;10,49;13,71;
;10,56;13,75;
;10,69;13,98;
;10,83;14,17;
;10,91;14,23;
;11,12;14,42;
;11,20;14,49;
;11,33;14,66;
;11,42;14,65;
;11,51;14,78;
;11,56;14,89;
3,50;11,57;14,91;
;11,66;15,05;
;11,76;15,12;
;11,91;15,25;
;11,94;15,32;
;12,08;15,55;
;12,23;15,68;
;12,30;15,72;
;12,38;15,77;
;12,43;15,84;
;12,51;15,95;
;12,54;15,99;
;12,69;16,15;
;12,77;16,21;
;12,84;16,34;
;13,07;16,61;
;13,23;16,85;
;13,28;16,93;
4,00;13,32;16,99;
;13,41;17,17;
;13,52;17,22;
;13,71;17,42;
;13,76;17,45;
;13,87;17,54;
;13,95;17,63;
;13,93;17,62;
;14,08;17,83;
;14,17;17,88;
;14,23;17,98;
;14,39;18,19;
;14,53;18,34;
;14,61;18,39;
;14,82;18,69;
;14,94;18,78;
;14,95;18,72;
;15,07;18,84;
4,50;15,08;18,93;
;15,16;19,12;
;15,33;19,39;
;15,45;19,59;
;15,51;19,66;
;15,58;19,68;
;15,73;19,82;
;15,83;19,91;
;15,96;20,02;
;16,08;20,11;
;16,20;20,27;
;16,32;20,42;
;16,40;20,51;
;16,56;20,59;
;16,66;20,70;
;16,73;20,85;
;16,86;20,93;
;16,88;21,05;
5,00;16,92;21,14;
;17,12;21,32;
;17,26;21,49;
;17,31;21,52;
;17,43;21,67;
;17,63;21,92;
;17,76;22,13;
;17,79;22,12;
;17,86;22,16;
;17,99;22,32;
;18,16;22,41;
;18,20;22,44;
;18,22;22,44;
;18,23;22,45;
;18,38;22,59;
;18,46;22,61;
;18,53;22,73;
;18,62;22,83;
5,50;18,69;22,93;
;18,89;23,13;
;18,99;23,32;
;19,09;23,63;
;19,14;23,67;
;19,17;23,67;
;19,24;23,70;
;19,37;23,77;
;19,45;23,92;
;19,42;23,86;
;19,63;24,03;
;19,71;24,21;
;19,79;24,18;
;19,86;24,20;
;19,93;24,16;
;20,03;24,26;
;20,12;24,33;
;20,25;24,57;
6,00;20,26;24,55;
;20,48;24,82;
;20,49;24,85;
;20,77;25,12;
;20,89;25,25;
;20,91;25,27;
;21,01;25,41;
;21,11;25,50;
;21,18;25,56;
;21,30;25,76;
;21,39;25,92;
;21,52;25,99;
;21,65;26,13;
;21,76;26,23;
;21,90;26,42;
;21,93;26,42;
;22,00;26,54;
;22,11;26,75;
6,50;22,19;26,85;
;22,18;26,75;
;22,21;26,87;
;22,38;27,22;
;22,42;27,14;
;22,63;27,36;
;22,68;27,35;
;22,83;27,54;
;22,92;27,69;
;23,09;27,90;
;23,22;28,01;
;23,34;28,04;
;23,43;28,18;
;23,50;28,22;
;23,48;28,19;
;23,64;28,38;
;23,73;28,45;
;23,77;28,46;
