Parameters:
Lambda_f;0.001154
Beta_f;0.78
Initial N;10000
Delta t;0.001
T (time steps);150
Number of experiments;100
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);
0,00;1,00;1,00;
;3,00;4,49;
;3,99;5,96;
;4,76;6,85;
;5,33;7,38;
;6,03;8,28;
;6,49;8,96;
;6,72;9,12;
;7,09;9,58;
;7,27;9,66;
;7,48;9,95;
;7,63;10,20;
;7,62;10,15;
;7,51;10,00;
;7,72;10,34;
;7,73;10,39;
;7,50;10,27;
;7,59;10,45;
0,50;7,66;10,73;
;7,66;10,55;
;7,80;10,93;
;7,76;10,92;
;7,50;10,47;
;7,49;10,53;
;7,41;10,33;
;7,49;10,34;
;7,74;10,74;
;7,98;11,26;
;8,05;11,30;
;7,68;10,77;
;7,59;10,71;
;7,58;10,78;
;7,51;10,68;
;7,59;10,72;
;7,52;10,42;
;7,58;10,26;
1,00;7,45;10,26;
;7,24;10,05;
;7,35;10,12;
;7,37;10,18;
;7,35;10,19;
;7,24;9,95;
;7,20;9,96;
;7,11;9,71;
;7,11;9,80;
;7,11;9,85;
;6,88;9,49;
;6,84;9,50;
;6,78;9,38;
;6,59;9,16;
;6,42;8,85;
;6,27;8,53;
;6,23;8,62;
;6,30;8,61;
1,50;6,36;8,63;
;6,55;9,02;
;6,62;9,08;
;6,64;9,12;
;6,66;9,24;
;6,66;9,26;
;6,70;9,11;
;6,66;9,21;
;6,45;8,97;
;6,28;8,66;
;6,11;8,56;
;5,96;8,29;
;5,98;8,25;
;5,93;8,16;
;5,91;8,10;
;5,83;8,11;
;6,05;8,33;
;6,12;8,30;
2,00;6,13;8,46;
;6,10;8,48;
;6,04;8,46;
;5,95;8,41;
;5,74;8,08;
;5,77;8,28;
;5,73;8,28;
;5,74;8,28;
;5,65;8,14;
;5,25;7,68;
;5,29;7,74;
;5,31;7,79;
;5,20;7,60;
;5,12;7,36;
;5,17;7,46;
;5,24;7,62;
;5,38;7,74;
;5,45;7,77;
2,50;5,54;7,95;
;5,45;7,78;
;5,45;7,91;
;5,47;7,80;
;5,54;7,72;
;5,60;7,74;
;5,64;7,83;
;5,81;7,85;
;5,75;7,79;
;5,72;7,82;
;5,60;7,56;
;5,59;7,71;
;5,66;7,73;
;5,66;7,75;
;5,80;7,96;
;5,94;8,18;
;5,92;8,33;
;5,83;8,16;
3,00;5,77;8,19;
;5,59;8,08;
;5,59;8,11;
;5,64;8,24;
;5,54;7,91;
;5,67;8,11;
;5,56;7,98;
;5,36;7,83;
;5,45;7,82;
;5,44;7,79;
;5,41;7,64;
;5,56;7,76;
;5,59;7,79;
;5,65;7,81;
;5,78;8,01;
;5,59;7,71;
;5,78;8,02;
;5,63;7,85;
3,50;5,72;7,90;
;5,63;8,02;
;5,65;7,92;
;5,70;7,98;
;5,66;7,88;
;5,56;7,92;
;5,64;7,87;
;5,51;7,84;
;5,35;7,80;
;5,26;7,58;
;5,22;7,45;
;5,10;7,29;
;5,17;7,25;
;5,15;7,24;
;5,10;7,17;
;5,00;7,17;
;4,97;7,10;
;4,89;7,04;
4,00;5,04;7,16;
;5,11;7,41;
;5,20;7,68;
;5,33;7,84;
;5,36;7,92;
;5,29;7,71;
;5,37;7,72;
;5,36;7,54;
;5,15;7,30;
;5,11;7,19;
;5,20;7,48;
;4,99;7,34;
;4,93;7,18;
;4,80;6,88;
;4,91;6,90;
;4,96;6,99;
;5,04;7,05;
;4,85;6,89;
4,50;4,78;6,83;
;5,01;7,13;
;4,84;6,81;
;4,84;6,85;
;4,74;6,76;
;4,78;6,87;
;4,83;6,94;
;4,66;6,68;
;4,67;6,72;
;4,70;6,84;
;4,69;6,82;
;4,58;6,53;
;4,62;6,68;
;4,67;6,71;
;4,80;6,96;
;4,83;6,86;
;4,65;6,60;
;4,69;6,59;
5,00;4,64;6,55;
;4,56;6,47;
;4,55;6,37;
;4,65;6,52;
;4,82;6,75;
;4,82;6,85;
;4,83;6,99;
;4,91;7,01;
;4,69;6,71;
;4,70;6,83;
;4,71;6,88;
;4,59;6,58;
;4,55;6,63;
;4,73;6,72;
;4,75;6,94;
;4,99;7,35;
;5,00;7,20;
;4,91;7,20;
5,50;4,99;7,17;
;5,09;7,34;
;5,05;7,31;
;5,14;7,46;
;5,00;7,28;
;4,80;7,13;
;4,66;6,90;
;4,68;6,93;
;4,83;7,06;
;4,65;6,66;
;4,67;6,63;
;4,77;6,59;
;4,84;6,80;
;4,79;6,81;
;4,84;6,95;
;4,88;7,00;
;4,89;7,13;
;4,98;7,26;
6,00;4,92;7,16;
;4,91;7,35;
;5,03;7,53;
;4,97;7,53;
;5,00;7,52;
;5,08;7,40;
;5,17;7,48;
;4,96;7,32;
;4,74;6,89;
;4,76;6,91;
;4,73;6,93;
;4,83;7,08;
;4,98;7,20;
;4,97;7,20;
;4,96;7,16;
;4,96;7,27;
;4,90;7,18;
;4,64;6,86;
6,50;4,71;7,05;
;4,67;6,95;
;4,60;6,95;
;4,74;7,24;
;4,95;7,38;
;5,05;7,58;
;5,04;7,53;
;4,99;7,40;
;4,97;7,32;
;5,00;7,45;
;4,93;7,28;
;5,05;7,46;
;4,98;7,44;
;5,04;7,63;
;5,09;7,70;
;4,81;7,39;
;4,76;7,27;
;4,52;6,93;
7,00;4,54;6,82;
;4,58;6,78;
;4,57;6,86;
;4,48;6,81;
;4,52;6,88;
;4,45;6,73;
;4,53;6,71;
;4,41;6,47;
;4,40;6,49;
;4,38;6,33;
;4,40;6,29;
;4,20;6,11;
;4,31;6,32;
;4,48;6,54;
;4,36;6,42;
;4,37;6,48;
;4,30;6,43;
;4,17;6,07;
7,50;4,11;6,00;
;4,09;6,06;
;4,11;5,97;
;4,15;6,02;
;4,19;6,22;
;4,07;6,01;
;4,22;6,30;
;4,26;6,23;
;4,19;6,13;
;4,07;5,88;
;3,99;5,73;
;4,01;5,83;
;3,96;5,84;
;3,94;5,80;
;3,98;5,93;
;4,09;6,01;
;4,20;6,20;
;4,35;6,40;
8,00;4,32;6,35;
;4,30;6,43;
;4,35;6,49;
;4,25;6,30;
;4,22;6,21;
;4,15;6,11;
;4,33;6,31;
;4,36;6,36;
;4,30;6,39;
;4,42;6,49;
;4,44;6,50;
;4,43;6,39;
;4,52;6,55;
;4,57;6,69;
;4,56;6,63;
;4,43;6,44;
