Parameters:
Lambda;0.001
Initial N;10000
Delta t;0.001
T (time steps);25.2
Number of experiments;100
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);
0,00;0,00;0,00;0,00;nan;
;9,02;11,34;0,95;4,11;
;9,90;11,98;1,81;4,97;
;9,63;11,21;2,59;5,75;
;9,60;11,11;3,30;6,46;
;9,77;11,22;3,93;7,09;
;9,76;11,15;4,51;7,67;
;9,63;11,05;5,03;8,19;
;9,62;11,02;5,50;8,66;
;9,63;11,01;5,93;9,09;
;9,64;11,00;6,32;9,48;
;9,64;11,00;6,67;9,83;
;9,64;11,00;6,98;10,14;
;9,64;11,00;7,27;10,43;
;9,64;11,00;7,53;10,69;
;9,64;11,00;7,76;10,92;
;9,64;11,00;7,98;11,14;
;9,64;11,00;8,17;11,33;
0,50;9,64;11,00;8,34;11,50;
;9,64;11,00;8,50;11,66;
;9,64;11,00;8,64;11,80;
;9,64;11,00;8,77;11,93;
;9,64;11,00;8,89;12,04;
;9,64;11,00;8,99;12,15;
;9,64;11,00;9,09;12,25;
;9,64;11,00;9,17;12,33;
;9,64;11,00;9,25;12,41;
;9,64;11,00;9,32;12,48;
;9,64;11,00;9,38;12,54;
;9,64;11,00;9,44;12,60;
;9,64;11,00;9,49;12,65;
;9,64;11,00;9,54;12,70;
;9,64;11,00;9,58;12,74;
;9,64;11,00;9,62;12,78;
;9,64;11,00;9,66;12,82;
;9,64;11,00;9,69;12,85;
1,00;9,64;11,00;9,72;12,88;
;9,64;11,00;9,74;12,90;
;9,64;11,00;9,77;12,93;
;9,64;11,00;9,79;12,95;
;9,64;11,00;9,81;12,97;
;9,64;11,00;9,83;12,98;
;9,64;11,00;9,84;13,00;
;9,64;11,00;9,86;13,01;
;9,64;11,00;9,87;13,03;
;9,64;11,00;9,88;13,04;
;9,64;11,00;9,89;13,05;
;9,64;11,00;9,90;13,06;
;9,64;11,00;9,91;13,07;
;9,64;11,00;9,92;13,08;
;9,64;11,00;9,92;13,08;
;9,64;11,00;9,93;13,09;
;9,64;11,00;9,94;13,09;
;9,64;11,00;9,94;13,10;
1,50;9,64;11,00;9,95;13,10;
;9,64;11,00;9,95;13,11;
;9,64;11,00;9,95;13,11;
;9,64;11,00;9,96;13,12;
;9,64;11,00;9,96;13,12;
;9,64;11,00;9,96;13,12;
;9,64;11,00;9,97;13,12;
;9,64;11,00;9,97;13,13;
;9,64;11,00;9,97;13,13;
;9,64;11,00;9,97;13,13;
;9,64;11,00;9,97;13,13;
;9,64;11,00;9,98;13,13;
;9,64;11,00;9,98;13,14;
;9,64;11,00;9,98;13,14;
;9,64;11,00;9,98;13,14;
;9,64;11,00;9,98;13,14;
;9,64;11,00;9,98;13,14;
;9,64;11,00;9,98;13,14;
2,00;9,64;11,00;9,98;13,14;
;9,64;11,00;9,98;13,14;
;9,64;11,00;9,98;13,14;
;9,64;11,00;9,98;13,14;
;9,64;11,00;9,99;13,14;
;9,64;11,00;9,99;13,14;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
2,50;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
3,00;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
3,50;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
4,00;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
4,50;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
5,00;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
5,50;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
6,00;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
6,50;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
;9,64;11,00;9,99;13,15;
