Parameters:
Lambda_f;0.0039
Beta_f;0.78
Initial N;10000
Delta t;0.001
T (time steps);150
Number of experiments;1000
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);
0,00;0,16;0,53;
;6,17;8,77;
;10,16;13,38;
;12,94;16,04;
;15,27;18,63;
;17,26;21,08;
;18,94;23,36;
;20,34;24,95;
;21,45;26,02;
;22,37;26,84;
;23,27;27,89;
;24,02;28,96;
;24,29;29,40;
;24,57;29,78;
;24,91;29,99;
;24,97;30,05;
;25,00;30,23;
;24,85;29,86;
0,50;24,67;29,78;
;24,75;29,89;
;24,92;30,09;
;24,94;30,41;
;24,87;30,16;
;25,10;30,49;
;25,20;30,54;
;25,31;30,52;
;25,38;30,41;
;25,39;30,58;
;25,60;30,68;
;25,37;30,70;
;25,54;30,85;
;25,13;30,42;
;24,87;30,13;
;24,93;30,40;
;24,87;30,22;
;24,98;30,04;
1,00;24,86;30,27;
;24,26;29,62;
;24,24;29,38;
;24,30;29,19;
;24,18;29,10;
;23,64;28,47;
;23,38;28,45;
;23,07;28,02;
;23,13;27,98;
;22,99;27,79;
;22,86;27,29;
;22,70;27,17;
;22,54;27,01;
;22,18;26,83;
;21,97;26,31;
;21,80;25,82;
;21,51;25,47;
;21,44;25,44;
1,50;21,34;25,41;
;21,24;25,61;
;21,45;25,81;
;21,71;26,12;
;21,62;25,81;
;21,38;25,37;
;21,35;25,16;
;21,41;25,51;
;21,18;25,33;
;21,01;25,06;
;21,01;25,24;
;20,85;25,15;
;20,83;25,05;
;20,65;24,77;
;20,34;24,42;
;20,14;24,35;
;20,10;24,16;
;20,22;23,95;
2,00;20,34;24,37;
;20,37;24,45;
;20,35;24,51;
;20,05;24,21;
;19,82;23,94;
;19,65;23,84;
;19,85;24,13;
;19,76;23,90;
;19,74;23,63;
;19,53;23,45;
;19,61;23,55;
;19,75;23,86;
;19,43;23,63;
;19,46;23,49;
;19,48;23,40;
;19,14;23,01;
;19,14;23,02;
;18,74;22,84;
2,50;19,01;23,34;
;18,96;23,22;
;18,88;23,11;
;18,82;23,22;
;18,93;23,25;
;18,93;23,45;
;18,89;23,50;
;19,06;23,40;
;19,10;23,45;
;19,14;23,72;
;19,11;23,65;
;19,05;23,64;
;19,08;23,44;
;18,77;23,15;
;18,83;23,10;
;18,91;22,89;
;18,66;22,81;
;18,40;22,38;
3,00;18,39;22,32;
;18,18;22,31;
;18,51;22,70;
;18,54;22,76;
;18,34;22,29;
;18,58;22,46;
;18,29;21,96;
;18,10;22,20;
;18,35;22,57;
;18,40;22,86;
;18,32;22,63;
;18,39;22,59;
;18,50;22,79;
;18,42;22,79;
;18,44;22,57;
;18,11;22,20;
;18,17;22,38;
;18,23;22,40;
3,50;18,41;22,53;
;18,32;22,57;
;18,53;22,98;
;18,45;23,00;
;18,26;23,01;
;17,73;22,62;
;17,84;22,54;
;17,60;22,51;
;17,61;22,30;
;17,50;21,89;
;17,34;21,53;
;17,26;21,45;
;17,10;20,99;
;17,24;21,27;
;17,07;21,13;
;17,04;20,93;
;17,09;20,96;
;16,87;21,01;
4,00;16,81;21,23;
;16,79;21,44;
;16,78;21,37;
;16,90;21,62;
;16,68;21,47;
;16,54;20,91;
;16,82;20,95;
;16,80;20,72;
;16,61;20,52;
;16,50;20,52;
;16,71;20,83;
;16,72;21,06;
;16,64;20,98;
;16,46;20,81;
;16,52;20,69;
;16,66;21,02;
;16,86;21,00;
;16,58;20,63;
4,50;16,45;20,62;
;16,67;20,52;
;16,53;20,21;
;16,64;20,30;
;16,51;20,32;
;16,46;20,12;
;16,43;20,20;
;16,13;19,91;
;15,90;19,48;
;15,82;19,58;
;15,87;19,76;
;15,52;19,34;
;15,61;19,65;
;15,81;19,95;
;16,03;20,13;
;15,87;20,00;
;15,67;19,55;
;15,89;19,79;
5,00;15,80;19,96;
;15,66;19,78;
;15,40;19,39;
;15,59;19,51;
;15,74;19,59;
;15,92;19,80;
;15,74;19,71;
;15,80;19,74;
;15,62;19,48;
;15,69;19,77;
;15,71;19,89;
;15,60;19,63;
;15,58;19,55;
;15,74;19,73;
;15,58;19,45;
;15,81;19,71;
;15,80;19,45;
;15,72;19,45;
5,50;15,79;19,58;
;15,94;20,00;
;15,90;19,90;
;15,99;20,09;
;15,77;19,88;
;15,59;19,75;
;15,25;19,45;
;15,06;19,05;
;14,98;18,68;
;14,77;18,32;
;14,88;18,34;
;15,14;18,63;
;15,16;18,64;
;15,20;18,60;
;15,42;19,01;
;15,26;19,13;
;15,34;19,12;
;15,48;19,14;
6,00;15,36;19,30;
;15,53;19,57;
;15,59;19,59;
;15,34;19,42;
;15,49;19,54;
;15,46;19,50;
;15,70;19,65;
;15,62;19,64;
;15,21;19,18;
;15,06;19,26;
;15,25;19,45;
;15,41;19,51;
;15,38;19,29;
;15,54;19,36;
;15,66;19,50;
;15,73;19,50;
;15,50;19,28;
;15,26;19,22;
6,50;15,23;19,19;
;15,19;19,23;
;15,24;19,43;
;15,33;19,62;
;15,64;19,96;
;15,58;19,89;
;15,50;19,49;
;15,40;19,39;
;15,30;19,33;
;15,16;19,12;
;15,16;19,09;
;15,38;19,44;
;15,46;19,78;
;15,61;20,01;
;15,93;20,64;
;15,46;19,98;
;15,31;19,83;
;15,02;19,28;
7,00;15,02;19,24;
;14,90;19,22;
;14,75;19,15;
;14,63;19,07;
;14,54;18,94;
;14,34;18,34;
;14,45;18,16;
;14,24;17,92;
;14,34;18,26;
;14,39;18,26;
;14,38;18,30;
;14,46;18,53;
;14,50;18,48;
;14,61;18,69;
;14,38;18,18;
;14,41;18,05;
;14,34;17,73;
;14,25;17,49;
7,50;14,15;17,46;
;14,06;17,52;
;14,22;17,54;
;14,25;17,55;
;14,34;17,94;
;14,34;17,87;
;14,37;18,05;
;14,14;17,52;
;14,02;17,78;
;13,94;17,60;
;13,98;17,65;
;14,02;17,76;
;14,02;18,03;
;14,10;18,18;
;14,26;18,22;
;14,36;18,49;
;14,63;18,85;
;14,81;18,93;
8,00;14,54;18,46;
;14,48;18,37;
;14,26;18,19;
;14,23;17,98;
;14,18;17,66;
;14,09;17,55;
;14,25;17,79;
;14,20;18,00;
;14,12;17,99;
;14,10;17,86;
;14,16;17,82;
;14,06;17,42;
;13,96;17,24;
;13,98;17,41;
;14,16;17,59;
;14,05;17,56;
;14,11;17,31;
;14,26;17,58;
8,50;14,25;17,47;
;14,29;17,64;
;14,14;17,45;
;14,18;17,39;
;14,17;17,62;
;14,06;17,69;
;14,24;17,75;
;14,13;17,59;
;14,26;17,92;
;14,30;17,70;
;14,08;17,84;
;13,94;17,53;
;13,77;17,31;
;13,63;17,17;
;13,66;17,13;
;13,50;17,19;
;13,70;17,48;
;13,69;17,42;
9,00;13,64;17,47;
;13,86;17,34;
;14,04;17,53;
;14,55;18,08;
;14,39;17,81;
;14,55;18,00;
;14,43;17,91;
;14,26;17,57;
;14,09;17,38;
;14,17;17,53;
;14,15;17,50;
;14,18;17,59;
;14,03;17,60;
;13,97;17,60;
;13,91;17,72;
;13,82;17,37;
;13,67;17,11;
;13,84;17,42;
9,50;14,14;17,91;
;14,02;17,60;
;13,97;17,76;
;13,96;17,50;
;13,82;17,40;
;13,82;17,58;
;13,94;17,51;
